HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
377 11158 X2.2 2011.02.14_01:56_TAI 2.292718e+22 103.723 0.01958899 14129.66 56.345 3015.888 74.86 0.04121538 60.431 111.241 0.10676716 5.414409e+13 1.196893e+13 7.140573e+23 51.393 945.314636 4.805 745.381
401 11166 M2.0 2011.03.06_14:30_TAI 2.352848e+22 90.899 -0.00173849 9597.931 45.475 1744.633 54.893 -0.00405663 51.832 95.061 0.13252671 3.944855e+13 5.053109e+12 4.864565e+23 44.73 961.502686 4.303 66.343
393 11164 M3.7 2011.03.06_20:12_TAI 6.354885e+22 89.238 0.00668007 8901.316 28.829 4435.788 47.789 0.01490614 41.47 97.15 -0.07817341 8.578735e+13 3.416153e+13 1.096926e+24 36.08 1934.446167 4.842 619.857
637 11226 M2.5 2011.06.06_06:41_TAI 2.65294e+22 104.938 0.0076348 3160.181 14.941 1671.507 45.459 0.02924855 35.535 105.271 0.01902856 3.907187e+13 1.93377e+13 2.001693e+23 29.753 970.551636 3.967 364.119
750 11261 M6.0 2011.08.02_13:48_TAI 2.172087e+22 105.247 0.02639428 9839.566 42.92 2712.405 68.542 0.07782652 53.33 108.889 0.29631871 5.146747e+13 4.453954e+13 5.369127e+23 43.722 1259.099854 4.777 1084.488
750 11261 M9.3 2011.08.03_03:57_TAI 2.429643e+22 105.932 0.0275447 10063.23 43.027 3023.166 66.698 0.07529958 52.101 112.247 -0.00369478 5.425287e+13 4.416899e+13 5.728789e+23 43.566 1285.486938 4.73 1180.703
833 11283 X1.8 2011.09.06_22:38_TAI 1.744217e+22 109.394 0.01196969 8427.838 36.942 1774.993 65.817 0.03531263 50.27 111.56 0.14321876 3.541598e+13 2.091341e+13 3.480545e+23 39.866 1212.428345 4.334 372.198
1321 11402 M8.7 2012.01.22_03:59_TAI 6.575312e+22 109.309 -0.00791825 6854.739 32.847 5262.69 58.344 -0.02190245 45.775 111.572 -0.01852124 1.186385e+14 2.112186e+13 1.013426e+24 38.284 3152.664062 4.672 881.484
1449 11429 X1.1 2012.03.04_04:05_TAI 3.874605e+22 57.365 -0.01863864 13609.83 43.887 2350.838 40.023 -0.03136818 50.654 70.847 0.02771197 3.675997e+13 3.445876e+13 9.134287e+23 44.916 1150.173218 4.4 941.923
1449 11429 X5.4 2012.03.06_00:24_TAI 5.479296e+22 87.202 -0.02964434 16724.31 46.041 5246.065 57.959 -0.0487862 51.546 102.845 -0.04081424 8.431182e+13 7.888847e+13 1.62162e+24 46.137 1720.481201 5.152 2164.244
