,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
0,8,11069,M1.2,2010.05.04_17:19_TAI,5.987544e+21,112.002,-0.0241965,5501.074,25.269,720.336,62.781,-0.06723806,43.847,125.326,-0.12102426,13372850000000.0,9859024000000.0,7.265489e+22,36.054,171.006271,4.072,240.634
1,49,11079,M1.0,2010.06.12_05:39_TAI,2.355847e+21,111.543,-0.00649765,3562.911,11.591,176.57,48.468,-0.01452075,33.674,126.283,-0.36591971,3090533000000.0,1221765000000.0,1.51036e+22,26.255,48.475544,3.192,20.74
2,115,11093,M1.0,2010.08.06_18:24_TAI,1.628014e+22,89.979,-0.00530818,6295.134,19.619,942.902,39.346,-0.01510972,37.157,89.782,-0.14628448,19542480000000.0,2124900000000.0,2.24522e+23,31.719,470.634491,3.818,142.551
3,211,11112,M2.9,2010.10.15_19:12_TAI,1.104408e+22,128.494,0.00053409,2971.182,12.117,855.488,59.704,0.00191748,35.838,128.672,0.72400463,18648530000000.0,7092123000000.0,7.395334e+22,27.692,703.612671,3.707,10.009
4,345,11149,M1.3,2011.01.27_01:03_TAI,1.812796e+22,61.379,0.00556161,7593.361,24.858,878.336,32.508,0.01279436,40.577,68.417,-0.33720404,14402410000000.0,8784931000000.0,2.608914e+23,29.979,515.142334,4.015,143.879
5,362,11153,M1.9,2011.02.08_01:31_TAI,1.017101e+22,84.182,-0.002347,3373.081,11.46,536.272,40.112,-0.00626775,32.987,88.18,-0.19513364,10166150000000.0,1490940000000.0,6.688043e+22,26.689,240.660339,3.782,35.038
6,377,11158,M6.6,2011.02.12_17:38_TAI,5.466512e+21,121.227,-0.00157128,5202.92,34.474,497.171,78.803,-0.00450468,53.747,119.24,0.25255057,11105230000000.0,1266448000000.0,6.762531e+22,40.947,302.56897,3.473,15.378
7,377,11158,M2.2,2011.02.13_17:26_TAI,1.879846e+22,104.174,0.02375576,14077.77,55.601,2627.275,79.392,0.05185017,60.309,112.614,0.01359574,45529300000000.0,19789300000000.0,5.793296e+23,50.653,837.608398,4.803,736.12
8,384,11161,M1.1,2011.02.15_07:44_TAI,1.171459e+22,111.583,-0.00836099,3735.856,14.595,877.359,55.372,-0.02069247,36.63,117.052,-0.23794883,16512450000000.0,4169352000000.0,8.403092e+22,29.142,356.131836,4.172,141.61
9,377,11158,M1.6,2011.02.15_14:25_TAI,2.605934e+22,92.424,0.02403116,14984.81,57.563,3013.313,66.699,0.05083205,58.373,100.389,0.2000917,52286680000000.0,29798980000000.0,8.292732e+23,50.865,1096.292847,4.861,1001.403
10,377,11158,M6.6,2011.02.17_10:11_TAI,3.139641e+22,101.396,0.01945623,10896.18,38.628,3028.615,62.466,0.03735124,48.513,111.35,-0.1060506,52985740000000.0,29763120000000.0,6.43175e+23,41.557,1103.533447,4.972,864.713
11,384,11162,M1.0,2011.02.17_10:26_TAI,1.489751e+22,108.01,-0.00677926,8984.397,38.75,1263.017,63.688,-0.01570029,49.773,108.674,0.44323748,25571550000000.0,5440717000000.0,2.850954e+23,41.291,720.135925,4.018,161.97
12,377,11158,M1.4,2011.02.17_13:03_TAI,3.25141e+22,101.332,0.01544481,10909.08,37.211,3153.096,61.964,0.02970844,47.826,110.889,-0.01899455,53410050000000.0,26021830000000.0,6.63249e+23,40.848,1120.770874,5.027,707.048
13,384,11162,M1.0,2011.02.17_14:08_TAI,1.408307e+22,110.237,-0.00864773,9608.011,39.289,1213.182,64.636,-0.01926267,49.839,112.63,0.42550647,24987580000000.0,4801238000000.0,2.803724e+23,41.447,707.713928,4.055,190.017
14,384,11162,M1.3,2011.02.17_21:04_TAI,1.516475e+22,108.78,-0.0051232,8281.993,40.173,1236.766,62.953,-0.01243734,51.099,109.693,0.49184832,26974970000000.0,6402945000000.0,2.78909e+23,41.876,744.285461,3.665,129.909
15,393,11164,M1.1,2011.02.27_12:52_TAI,2.449318e+22,78.573,0.01309282,5376.071,14.615,1556.563,41.467,0.03423422,33.477,85.6,-0.17853202,28499580000000.0,24463580000000.0,2.490956e+23,27.776,597.53949,4.451,456.769
16,393,11164,M1.2,2011.03.06_05:13_TAI,5.405605e+22,100.078,0.00990117,11872.12,36.279,4479.49,58.377,0.01900717,45.657,109.998,-0.04030524,83477750000000.0,51526810000000.0,1.176023e+24,39.701,2068.188965,5.002,738.508
17,394,11165,M1.5,2011.03.06_07:54_TAI,2.942691e+22,99.433,-0.00730905,5381.088,21.506,2133.552,53.991,-0.01661135,39.073,108.215,-0.1755258,39062030000000.0,9138532000000.0,2.955719e+23,31.685,918.823975,4.561,302.302
18,393,11164,M1.4,2011.03.06_08:07_TAI,5.712703e+22,93.323,0.00775337,10983.51,34.062,4354.476,53.287,0.01605595,44.227,103.374,0.05254352,82943270000000.0,39328250000000.0,1.188865e+24,38.558,2116.946533,5.082,631.9
