datatype,sampling,time_step,n_estimators,learning_rate,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,5,0.001,0.07932636469221835,0.1562344443918029,0.22781649245063879,0.06379735543233356,0.7921869796869798,0.08781636767902416,0.3071428571428571,0.1398796859111867
Non_temporal,SMOTE,8,5,0.01,0.07033972125435539,0.1409770127792424,0.23501742160278744,0.059546920529692314,0.7984948384948385,0.08026724713051946,0.3053571428571428,0.1191086153260878
Non_temporal,SMOTE,8,5,0.05,0.05724448315911731,0.1509137933708009,0.2373983739837398,0.05517806627373005,0.8101265401265401,0.07482401954073509,0.2946428571428571,0.1388385679816083
Non_temporal,SMOTE,8,5,0.1,0.04587688734030198,0.13418671554568812,0.24698025551684086,0.04670379745766538,0.816346153846154,0.07114538644605757,0.2928571428571428,0.11769469323774344
Non_temporal,SMOTE,8,10,0.001,0.07688734030197446,0.15650779819672347,0.2302555168408827,0.0571584648146728,0.7964618714618715,0.08348570095497303,0.3071428571428571,0.1398796859111867
Non_temporal,SMOTE,8,10,0.01,0.07028164924506389,0.14067739663912118,0.23507549361207897,0.05890276851613699,0.7991008991008991,0.07834273861073054,0.3053571428571428,0.1191086153260878
Non_temporal,SMOTE,8,10,0.05,0.05486353077816493,0.16734447859379922,0.2397793263646922,0.05988373096202673,0.8104378954378955,0.08323813249220277,0.2946428571428571,0.14967013048428757
Non_temporal,SMOTE,8,10,0.1,0.08629500580720093,0.16357016690695808,0.2565621370499419,0.03376156992074255,0.7981485181485183,0.08018571986899234,0.34285714285714286,0.1398796859111867
Non_temporal,SMOTE,8,20,0.001,0.07450638792102207,0.15765516849776956,0.23263646922183506,0.05491180619579733,0.7987162837162838,0.08259530931996349,0.3071428571428571,0.1398796859111867
Non_temporal,SMOTE,8,20,0.01,0.08932926829268292,0.1608630041340917,0.23031358885017422,0.061304461379721426,0.7886247086247087,0.08660865611269308,0.3196428571428571,0.13979987518607023
Non_temporal,SMOTE,8,20,0.05,0.07986353077816491,0.15168224363265548,0.2397793263646922,0.05359291405389189,0.7990825840825841,0.07587970397271736,0.3196428571428571,0.13979987518607023
Non_temporal,SMOTE,8,20,0.1,0.07968931475029037,0.17231207056919526,0.23995354239256678,0.04744579115567447,0.8014130314130314,0.08735889955967072,0.3196428571428571,0.1606051216556957
Non_temporal,SMOTE,8,50,0.001,0.08694831591173055,0.15363551304529988,0.2326945412311266,0.060162741761010614,0.7915717615717616,0.08233703124264471,0.3196428571428571,0.13979987518607023
Non_temporal,SMOTE,8,50,0.01,0.07682926829268293,0.16398648588544518,0.23031358885017422,0.05649197784660645,0.795987345987346,0.08582901254582523,0.3071428571428571,0.1398796859111867
