datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,gini,2,2,0.07348834740139092,0.11558826986976387,0.6572808833678399,0.08528426441388567,0.8271945815515855,0.025445555129518016,0.7307692307692308,0.16468246895724525
Non_temporal,SMOTE,8,gini,2,3,0.10807187981101025,0.06589762420848366,0.6639061421670117,0.12684206429144232,0.8203362432922181,0.015699235724749534,0.771978021978022,0.17211489129315477
Non_temporal,SMOTE,8,gini,2,5,0.07319106014758191,0.11658350479072953,0.6072118702553485,0.173842184481236,0.8218072112565955,0.031679981570822975,0.6804029304029303,0.19684384921245493
Non_temporal,SMOTE,8,gini,2,10,0.057806444762966536,0.10161229762214345,0.6738785369220152,0.0970928713072421,0.829544496189527,0.02330076278783293,0.7316849816849816,0.14683174284844663
Non_temporal,SMOTE,8,gini,6,2,0.07810957158783245,0.15903879322427406,0.4246376811594203,0.06279984677142761,0.821998748516151,0.05544663474530904,0.5027472527472527,0.19621232236999003
Non_temporal,SMOTE,8,gini,6,3,0.10062377236290282,0.07198947930114627,0.5202553485162181,0.07343920204347304,0.8145566605660575,0.022903665733978628,0.6208791208791209,0.0848244408564792
Non_temporal,SMOTE,8,gini,6,5,0.035334713595583184,0.13030237047790957,0.40514147688060737,0.07643392264741135,0.8343251792429331,0.04824623431200034,0.44047619047619047,0.17514798622283953
Non_temporal,SMOTE,8,gini,6,10,0.0804799065668631,0.12766898594140277,0.450655624568668,0.03987907044914002,0.8177308289150395,0.03786513230592543,0.5311355311355311,0.12214895238485762
Non_temporal,SMOTE,8,gini,10,2,-0.0016483516483516332,0.10292153667705559,0.31666666666666665,0.0399265310827026,0.8445103964914624,0.052441898899619775,0.315018315018315,0.11502064811800426
Non_temporal,SMOTE,8,gini,10,3,0.1937755481233742,0.1860371282655281,0.2613526570048309,0.031089392262085142,0.755051224387806,0.08098969491935397,0.4551282051282051,0.17543502799235908
Non_temporal,SMOTE,8,gini,10,5,-0.03382438817221426,0.11243428836849086,0.3378536922015183,0.08584308149403307,0.8510194307608101,0.04835512547873116,0.30402930402930406,0.11778707099497088
Non_temporal,SMOTE,8,gini,10,10,0.034034081860168826,0.1128424236974863,0.29472049689440993,0.06710478379708136,0.8265847079572569,0.05029295306139789,0.32875457875457875,0.12147773301917097
Non_temporal,SMOTE,8,gini,12,2,0.05222169135212614,0.1255818619886978,0.3259834368530021,0.03920462657400562,0.8202877477204326,0.05558855843869201,0.3782051282051282,0.1183729827732012
Non_temporal,SMOTE,8,gini,12,3,0.06477942347507566,0.08065764270305675,0.27587991718426497,0.042711994531904815,0.811437587657784,0.037635288799419464,0.3406593406593407,0.09083953675924722
Non_temporal,SMOTE,8,gini,12,5,0.0947019164410469,0.10738309579906283,0.27342995169082124,0.040003383833159746,0.799838446577577,0.04265086816980373,0.36813186813186816,0.12314721958984792
Non_temporal,SMOTE,8,gini,12,10,0.02842543929500452,0.14428067315158138,0.2756038647342995,0.03308624577678754,0.8257946763381545,0.06519157031271852,0.304029304029304,0.11778707099497089
Non_temporal,SMOTE,8,entropy,2,2,0.035284280936454894,0.1151106868667417,0.6322981366459628,0.26604740152902245,0.8286921274174904,0.03786499720376731,0.6675824175824175,0.2661245268981597
Non_temporal,SMOTE,8,entropy,2,3,0.07258321388756174,0.0916712521750296,0.5812629399585921,0.28843905697717015,0.8172056116744439,0.04144041886260109,0.6538461538461539,0.32255758013869545
Non_temporal,SMOTE,8,entropy,2,5,0.08029410203323248,0.11729272525195361,0.5607315389924085,0.19945474853362977,0.827228851817169,0.03226420220972682,0.641025641025641,0.26892534568465426
Non_temporal,SMOTE,8,entropy,2,10,0.11901045814089294,0.14096163872035877,0.6886818495514148,0.19052451852873362,0.8153500262768832,0.028562931043711274,0.8076923076923078,0.23395240501146997
Non_temporal,SMOTE,8,entropy,6,2,0.06255242342198865,0.05807570021265941,0.45576259489302967,0.08690307492402935,0.8240695432216717,0.017328245778727644,0.5183150183150184,0.12471707169401625
Non_temporal,SMOTE,8,entropy,6,3,0.06332218506131553,0.11880541094323224,0.4027950310559006,0.0717991556933531,0.8185079298371513,0.040983716932873455,0.4661172161172162,0.1237755171451708
Non_temporal,SMOTE,8,entropy,6,5,0.08185486011572969,0.12172329034444786,0.421808143547274,0.08482750308267448,0.81409951858683,0.04107003469671738,0.5036630036630036,0.1294678786305562
Non_temporal,SMOTE,8,entropy,6,10,0.10925572012528535,0.08935324914493256,0.43195307108350584,0.1021231311525283,0.8064004574130695,0.029049015453491332,0.5412087912087912,0.14501574284339894
Non_temporal,SMOTE,8,entropy,10,2,0.12795296490948668,0.06482048529762913,0.32625948930296755,0.04361924898872086,0.7897949648505822,0.027989275385489364,0.4542124542124542,0.06270052296199151
Non_temporal,SMOTE,8,entropy,10,3,0.004326591283113024,0.2205545497684883,0.3619737750172533,0.031021528406012876,0.8482601112545333,0.08215906761575757,0.3663003663003663,0.22642577964140062
