datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,gini,2,2,0.08013377926421406,0.05617627578021859,0.597888198757764,0.30623794148391725,0.76,0.13070747662029303,0.6780219780219781,0.3286357392316761
Non_temporal,SMOTE,8,gini,2,3,0.09727132770611034,0.0813477329320888,0.6985162180814356,0.24810577000715525,0.8164827696024172,0.02302553741241404,0.7957875457875457,0.25815244084476774
Non_temporal,SMOTE,8,gini,2,5,0.06614906832298138,0.10772217451273595,0.75527950310559,0.08195681223526505,0.8282011103218534,0.022551752770459427,0.8214285714285713,0.09693559760646897
Non_temporal,SMOTE,8,gini,2,10,0.01903434729521687,0.04700325726937,0.6384748102139406,0.2241687107990527,0.8300473441513577,0.021381102041654075,0.6575091575091575,0.20796217390606955
Non_temporal,SMOTE,8,gini,6,2,0.13070818070818072,0.08917462964216082,0.4507936507936508,0.047355116183115935,0.8036626718691936,0.02750486940161252,0.5815018315018315,0.09912554236950723
Non_temporal,SMOTE,8,gini,6,3,0.07946063598237513,0.16478261382561252,0.46266390614216707,0.12068876095744623,0.8205986242218127,0.059276285584764235,0.5421245421245421,0.19156493575081146
Non_temporal,SMOTE,8,gini,6,5,0.08057015448319797,0.15373489578180868,0.5009316770186336,0.09566843617267327,0.8203592393441325,0.048311204956525196,0.5815018315018315,0.18301506004507773
Non_temporal,SMOTE,8,gini,6,10,0.1277777777777778,0.07336400991774018,0.4436507936507937,0.06203934313596648,0.8058966078247994,0.01819071971354062,0.5714285714285714,0.12924746347529195
Non_temporal,SMOTE,8,gini,10,2,0.12443595052290708,0.1300627303183194,0.3673222912353347,0.07594162415014871,0.793418677122595,0.04302875975019162,0.49175824175824173,0.0922548034424306
Non_temporal,SMOTE,8,gini,10,3,0.15462653288740247,0.18235184399723073,0.2876811594202898,0.05620368096167513,0.7760180659643025,0.07153360194986988,0.4423076923076923,0.18277663371004169
Non_temporal,SMOTE,8,gini,10,5,0.15354090354090352,0.16085368179873638,0.2896825396825397,0.08971665472123523,0.7596244172698948,0.08704844868548216,0.44322344322344326,0.12099007007262817
Non_temporal,SMOTE,8,gini,10,10,0.20618463661941924,0.06092528639779871,0.26359558316080056,0.06495839737409365,0.7407247397166753,0.04155333547161499,0.4697802197802197,0.06099891019553438
Non_temporal,SMOTE,8,gini,12,2,0.06224982746721877,0.1108670398730481,0.3187025534851622,0.04317976781762918,0.8142821684488352,0.043447746920596546,0.380952380952381,0.09230478511614762
Non_temporal,SMOTE,8,gini,12,3,0.1957105696236131,0.11094983542467944,0.23743961352657003,0.04766049995630892,0.745163919900762,0.05230938769844253,0.43315018315018317,0.11964137644191539
Non_temporal,SMOTE,8,gini,12,5,0.12813876944311728,0.11630666375282511,0.25189786059351277,0.05682625340627341,0.7711072408657825,0.05812697841643883,0.38003663003663,0.07760144799406733
Non_temporal,SMOTE,8,gini,12,10,0.2043186282316717,0.15296392068861445,0.23982056590752243,0.0862474513371458,0.718572825024438,0.11362213093686038,0.4441391941391941,0.0969701958399634
