datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,l1,0.001,,,,,,,,
Non_temporal,SMOTE,8,l1,0.01,,,,,,,,
Non_temporal,SMOTE,8,l1,0.05,0.12753623188405797,0.10402363432521454,0.5153209109730849,0.0801695062344608,0.8069925196212623,0.030905854080905872,0.6428571428571428,0.10929325089989518
Non_temporal,SMOTE,8,l1,0.1,0.16098635663853056,0.11737649208243366,0.4315044858523119,0.06081513045427012,0.7919929419264528,0.03890771817766314,0.5924908424908425,0.11045717547029493
Non_temporal,SMOTE,8,l1,1.5,0.16946966077400863,0.17129580792004162,0.37173913043478257,0.04966984747119811,0.7902855586679115,0.05665061468328372,0.5412087912087912,0.20187479176493248
Non_temporal,SMOTE,8,l1,10.0,0.19511068641503426,0.15072829634364568,0.3717391304347826,0.06019598269690512,0.7816761237146633,0.05011108235726192,0.5668498168498168,0.18976383064851776
Non_temporal,SMOTE,8,l2,0.001,0.11470775601210385,0.15223661412166029,0.4145962732919255,0.06462897435444628,0.8022893466215505,0.05178212026066041,0.5293040293040293,0.1261610996285313
Non_temporal,SMOTE,8,l2,0.01,0.18180973615756224,0.10653180390222965,0.3978605935127675,0.04716721860954882,0.7825832866324656,0.037055350668562116,0.5796703296703296,0.1022898281952802
Non_temporal,SMOTE,8,l2,0.05,0.21942453681584118,0.07983631984491152,0.38588681849551415,0.0641443839589562,0.7684096687689692,0.03171494211878047,0.6053113553113553,0.0877067580763058
Non_temporal,SMOTE,8,l2,0.1,0.20810373201677554,0.09914469969035247,0.3715665976535542,0.04857969218378913,0.7714748572750803,0.03515378111124676,0.5796703296703297,0.11151500141232633
Non_temporal,SMOTE,8,l2,1.5,0.19840738971173755,0.14622011440087315,0.3812629399585921,0.03947304197801544,0.7796294860139911,0.045787107403782015,0.5796703296703297,0.1679722841487868
Non_temporal,SMOTE,8,l2,10.0,0.1727318575144662,0.16327636343549642,0.3812974465148378,0.057957785470090395,0.790254368441243,0.05420534426314616,0.554029304029304,0.19882763975145312
Non_temporal,SMOTE,12,l1,0.001,,,,,,,,
Non_temporal,SMOTE,12,l1,0.01,,,,,,,,
Non_temporal,SMOTE,12,l1,0.05,0.23075861336730905,0.08812428644330578,0.4807798481711525,0.0771750914106203,0.7717223032047268,0.023556085633451313,0.7115384615384616,0.09924391136367276
Non_temporal,SMOTE,12,l1,0.1,0.2905584753410841,0.1250902850549318,0.4090752242926156,0.054035206784119265,0.7461085083724739,0.035147795651522616,0.6996336996336997,0.11787247552896765
Non_temporal,SMOTE,12,l1,1.5,0.29202367680628555,0.09883708928441402,0.3709799861973775,0.06716519242408893,0.7335427150989764,0.04068188344496246,0.663003663003663,0.06521792606140972
Non_temporal,SMOTE,12,l1,10.0,0.29920104050538837,0.09859816741830751,0.36380262249827466,0.05187983558836401,0.7326213105273173,0.03454569654824822,0.663003663003663,0.08749136199630905
Non_temporal,SMOTE,12,l2,0.001,0.21919891702500402,0.12454358434147565,0.39710144927536234,0.06003224508271494,0.7639538610013578,0.037349624452810426,0.6163003663003662,0.11773366170080178
Non_temporal,SMOTE,12,l2,0.01,0.2908345277910495,0.0817502135102054,0.37308488612836443,0.05679611444476425,0.737551275051275,0.024951823897882502,0.6639194139194139,0.08555779992396624
Non_temporal,SMOTE,12,l2,0.05,0.328998778998779,0.0860723547041552,0.34682539682539687,0.05740585409587601,0.7191285403050109,0.02941199984796055,0.675824175824176,0.08675984822217592
Non_temporal,SMOTE,12,l2,0.1,0.3257020757020757,0.08197172291945795,0.33730158730158727,0.06400501118752304,0.7163550703682283,0.03217204269777084,0.663003663003663,0.08749136199630905
Non_temporal,SMOTE,12,l2,1.5,0.280187928014015,0.10805810574557367,0.3590062111801242,0.06995141983396347,0.7340549204089996,0.04447424943908697,0.6391941391941391,0.07966506656018882
Non_temporal,SMOTE,12,l2,10.0,0.2896772309815788,0.10027580881685966,0.3614216701173223,0.05915973715259827,0.7339000605129637,0.03735869937529215,0.6510989010989011,0.08451244868664808
Non_temporal,SMOTE,24,l1,0.001,,,,,,,,
Non_temporal,SMOTE,24,l1,0.01,,,,,,,,
Non_temporal,SMOTE,24,l1,0.05,0.13339904096946353,0.15052097002195966,0.5396778821074594,0.024110659331265598,0.8142335296100239,0.03247799012288614,0.673076923076923,0.14348095695897045
Non_temporal,SMOTE,24,l1,0.1,0.23732996268207537,0.12390017038964285,0.42292644757433484,0.05548709293746155,0.77543679339194,0.03147651230985436,0.6602564102564102,0.10513602222344057
