datatype,sampling,time_step,max_features,min_samples_leaf,min_samples_split,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,2,3,8,2,5,0.11024313850400808,0.09762565119046397,0.4099033816425121,0.03074154604671388,0.8075243255196817,0.026504873191500043,0.5201465201465202,0.10742035383600865
Non_temporal,SMOTE,8,2,3,8,2,10,0.08043743695917611,0.08703969762940783,0.3618702553485162,0.06351727265317826,0.8082929327270018,0.03839399073059113,0.4423076923076923,0.06181827410892919
Non_temporal,SMOTE,8,2,3,8,2,20,0.028303339172904424,0.1706883201150176,0.4771911663216011,0.05523469319385949,0.8316074358323093,0.052865878784332056,0.5054945054945056,0.1475695024064739
Non_temporal,SMOTE,8,2,3,8,2,30,0.09391888304931784,0.1334561946560233,0.43630089717046244,0.04582912373633372,0.8115329115329115,0.04025562536378146,0.5302197802197802,0.10775162827599256
Non_temporal,SMOTE,8,2,3,8,5,5,0.08726973509582207,0.11985063859913539,0.3669427191166321,0.039748078024651565,0.8149755253728421,0.04245049782092743,0.4542124542124542,0.15380254047778033
Non_temporal,SMOTE,8,2,3,8,5,10,0.1402718054891968,0.21978393519834005,0.3020358868184955,0.06020425034889572,0.7862423052929742,0.08130496286974251,0.4423076923076923,0.21728783662408066
Non_temporal,SMOTE,8,2,3,8,5,20,0.13122843340234647,0.17212843027825472,0.30924775707384405,0.06119902887158538,0.7847944647944648,0.0798396402254665,0.44047619047619047,0.15095453198506883
Non_temporal,SMOTE,8,2,3,8,5,30,0.10588469501512983,0.11496704939766418,0.3236024844720497,0.04653244614116564,0.7970154845154845,0.051394952897809,0.42948717948717946,0.10033638360575979
Non_temporal,SMOTE,8,2,3,8,10,5,0.11497584541062804,0.13670991689147285,0.2659765355417529,0.03222276838047784,0.7854081184515967,0.06401938497118255,0.38095238095238093,0.1116465249386679
Non_temporal,SMOTE,8,2,3,8,10,10,0.13477995434517173,0.17054691636967825,0.19672187715665979,0.03971206930807142,0.7705409356725146,0.0842411374776476,0.3315018315018315,0.18315934043041437
Non_temporal,SMOTE,8,2,3,8,10,20,0.18080904602643733,0.2135221465249718,0.18457556935817807,0.018504943107114456,0.7417482006297796,0.12709662223121995,0.3653846153846154,0.2056283965685313
Non_temporal,SMOTE,8,2,3,8,10,30,0.12449169188299623,0.1412686604923915,0.15572808833678398,0.025899624426653937,0.7581478205317215,0.08864201641580968,0.28021978021978017,0.1467146145364691
Non_temporal,SMOTE,8,2,3,10,2,5,0.11547220895046985,0.23219767666516175,0.46511387163561074,0.07430383378824867,0.8075743927144741,0.07085184712128985,0.5805860805860806,0.19966730234385746
Non_temporal,SMOTE,8,2,3,10,2,10,0.0721930243669374,0.1490955998922263,0.4195652173913043,0.04373690690553514,0.8160922942172942,0.04812499523378649,0.49175824175824173,0.11160520567493216
Non_temporal,SMOTE,8,2,3,10,2,20,0.03330678982852899,0.12246072725699382,0.4602829537612146,0.10146902081520319,0.8249988229131722,0.041458291793065864,0.4935897435897436,0.07166884543268556
Non_temporal,SMOTE,8,2,3,10,2,30,0.19563624781016087,0.14634460784328424,0.42432712215320917,0.03506709997173901,0.7846710346710347,0.04641758644587425,0.61996336996337,0.14765187920560158
Non_temporal,SMOTE,8,2,3,10,5,5,0.04639539204756595,0.14349974226924003,0.3473775017253278,0.07203693840456796,0.8178983381208554,0.06163745465316425,0.39377289377289376,0.10680969459211231
Non_temporal,SMOTE,8,2,3,10,5,10,0.08764930721452462,0.12018810003350196,0.3546583850931677,0.043170722115737914,0.8068131215190038,0.04970316812134711,0.4423076923076923,0.09868464306628624
Non_temporal,SMOTE,8,2,3,10,5,20,0.10147847321760367,0.20310407595831353,0.2758109040717736,0.05358525996975164,0.7930968726163234,0.09834781899463073,0.3772893772893773,0.18537114914109884
Non_temporal,SMOTE,8,2,3,10,5,30,0.1513988427031905,0.19219272130353388,0.28999309868875084,0.054793847168964856,0.777717063256279,0.08937998985447017,0.44139194139194143,0.17938436166989652
Non_temporal,SMOTE,8,2,3,10,10,5,0.13950735255083083,0.10822151662566933,0.22770876466528642,0.030837607932269123,0.7679454390451833,0.05691766233463684,0.36721611721611724,0.11244362265347202
Non_temporal,SMOTE,8,2,3,10,10,10,0.09871264001698786,0.21155044622670396,0.17967563837129052,0.03698003413456737,0.7839746145667198,0.12698170633942785,0.27838827838827834,0.2064322755107014
Non_temporal,SMOTE,8,2,3,10,10,20,0.16975102192493496,0.08229749606364481,0.1727398205659075,0.029386136628278995,0.7292735042735043,0.042329809465397716,0.34249084249084244,0.09857836366884899
Non_temporal,SMOTE,8,2,3,10,10,30,0.09377820247385467,0.13559560770892673,0.18461007591442372,0.022193698500131937,0.7801074377119268,0.08866566770001279,0.2783882783882784,0.12247804759927099
Non_temporal,SMOTE,8,2,3,12,2,5,0.015519987259117726,0.15251218184364923,0.44327122153209114,0.15047677349722763,0.8305011520737328,0.04900408384404037,0.4587912087912089,0.1641545778701783
Non_temporal,SMOTE,8,2,3,12,2,10,0.11544035674470458,0.12837457638164865,0.4788819875776397,0.1138944703875427,0.802726676939972,0.04590018136264661,0.5943223443223443,0.07482867406260667
Non_temporal,SMOTE,8,2,3,12,2,20,0.035929288103201146,0.17174612936159345,0.4457556935817806,0.04629139081870257,0.8331863519363519,0.04691864867946291,0.4816849816849817,0.18782495534311308
Non_temporal,SMOTE,8,2,3,12,2,30,0.14071508201942984,0.12690878902204006,0.44078674948240165,0.07998831121108295,0.7940501506290981,0.05007179231731679,0.5815018315018315,0.06251970398790581
Non_temporal,SMOTE,8,2,3,12,5,5,0.11095450443276529,0.2296575750372548,0.3524154589371981,0.047389161646761116,0.8035169623404917,0.08822361343247642,0.46336996336996333,0.21631114413322616
Non_temporal,SMOTE,8,2,3,12,5,10,0.07767956681000161,0.10096845469445181,0.3664596273291925,0.08050245715740531,0.8093265288940802,0.035570560726619724,0.4441391941391941,0.08620227545412973
Non_temporal,SMOTE,8,2,3,12,5,20,0.0979296066252588,0.19000418101489389,0.31873706004140784,0.058442789723139786,0.8003959765724472,0.0780047792075115,0.4166666666666667,0.17822357403151085
Non_temporal,SMOTE,8,2,3,12,5,30,0.1201704093008441,0.15099720504276143,0.3093167701863354,0.038432992776411504,0.7927901673489909,0.05928733906022506,0.42948717948717946,0.1479922612899384
Non_temporal,SMOTE,8,2,3,12,10,5,0.15987152943674685,0.08424877348712531,0.2467218771566598,0.06872153726738377,0.7575846869494294,0.044251883900653446,0.40659340659340665,0.10952319697967805
Non_temporal,SMOTE,8,2,3,12,10,10,0.14202633115676594,0.12527736624012936,0.18947550034506555,0.03495357451028059,0.7637789415283022,0.055626344209241056,0.3315018315018315,0.15390065317615909
Non_temporal,SMOTE,8,2,3,12,10,20,0.14347029781812393,0.09575187565569557,0.17246376811594202,0.03628173638277703,0.7361017393912132,0.0806402669018492,0.315934065934066,0.07909989037850532
Non_temporal,SMOTE,8,2,3,12,10,30,0.195163773424643,0.15852773868278583,0.1583160800552105,0.03466196886242961,0.7008083935328516,0.1064209114449054,0.35347985347985356,0.13450008767573007
Non_temporal,SMOTE,8,2,5,8,2,5,0.06692413866326914,0.1196587015470913,0.5273982056590752,0.10379030645318736,0.8197412549136686,0.03620902328695334,0.5943223443223443,0.09769392835540106
Non_temporal,SMOTE,8,2,5,8,2,10,0.06717630195891065,0.1489562545036596,0.4749482401656315,0.11859378794083837,0.8151945423684555,0.05773534654576579,0.5421245421245421,0.13764318115791893
Non_temporal,SMOTE,8,2,5,8,2,20,0.11419281201889898,0.14120590965814092,0.42884748102139403,0.09145857116600117,0.7985212185870081,0.059545853568695586,0.543040293040293,0.06894941569260464
Non_temporal,SMOTE,8,2,5,8,2,30,0.04378085682433508,0.12930404041967317,0.48643892339544514,0.07108887428052078,0.8242628561559201,0.04450280400043114,0.5302197802197802,0.06099891019553439
Non_temporal,SMOTE,8,2,5,8,5,5,0.12464564421086162,0.18154815962750498,0.36894409937888195,0.0934953979371247,0.7948946943497974,0.0686190488575369,0.4935897435897436,0.16972054224197086
