USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
8.879183e+21,106.259,-0.02876609,7646.391,21.287,909.625,59.152,-0.05937049,39.68,114.549,-0.00586841,13963280000000.0,11627680000000.0,1.229334e+23,32.328,271.359863,4.238,348.242,8,11069,M1.2,2010.05.05_09:19_TAI
4.68504e+21,124.228,-0.00146413,4215.686,25.461,461.527,67.939,-0.00395373,44.976,126.705,-0.3642039,9934509000000.0,1530912000000.0,4.340609e+22,36.194,150.23056,3.678,11.351,54,11081,M2.0,2010.06.11_16:57_TAI
1.292189e+22,94.13,-0.0055342,7788.253,25.598,881.468,42.985,-0.01515148,40.578,94.0,-0.12639542,18351410000000.0,1463005000000.0,2.212192e+23,35.404,537.324768,3.565,118.354,115,11093,M1.0,2010.08.07_10:24_TAI
1.244174e+22,120.401,0.00490852,3554.413,17.759,1018.763,58.29,0.01662637,38.027,120.84,0.38221616,20979540000000.0,7032378000000.0,9.856232e+22,30.805,662.910645,3.722,102.49,211,11112,M2.9,2010.10.16_11:12_TAI
2.112975e+22,80.277,-0.00623333,7369.953,20.326,1304.346,44.259,-0.01103825,37.316,93.655,-0.20076844,20341430000000.0,5819701000000.0,2.513559e+23,31.239,680.607483,4.396,160.072,362,11153,M1.9,2011.02.08_17:31_TAI
1.48534e+22,117.08,0.02571305,11204.16,51.496,2277.285,87.758,0.06057664,59.777,124.767,0.19018415,40353070000000.0,20141670000000.0,3.819003e+23,49.223,688.486816,4.767,659.9,377,11158,M6.6,2011.02.13_09:38_TAI
2.363509e+22,99.921,0.02007853,15784.97,57.573,2951.931,72.638,0.03965196,60.026,108.651,0.02189386,49965820000000.0,16573080000000.0,7.746507e+23,51.422,1043.00769,4.767,741.922,377,11158,M2.2,2011.02.14_09:26_TAI
1.704399e+22,105.391,-0.01274951,7912.179,26.415,1418.485,58.715,-0.02607379,42.439,114.882,-0.21459733,24562200000000.0,7089513000000.0,2.481084e+23,35.836,579.489868,4.436,301.041,384,11161,M1.1,2011.02.15_23:44_TAI
2.806459e+22,96.392,0.02240464,13543.69,53.155,3011.353,66.247,0.04531039,55.512,107.916,0.21294646,54776490000000.0,34019070000000.0,7.761047e+23,48.517,1101.19165,4.833,966.738,377,11158,M1.6,2011.02.16_06:25_TAI
3.592821e+22,92.594,0.01300664,11014.46,34.143,3192.01,57.315,0.02531042,45.907,103.14,0.06804331,51875910000000.0,18030620000000.0,7.367091e+23,39.387,1059.402954,4.746,655.067,377,11158,M6.6,2011.02.18_02:11_TAI
1.657498e+22,122.975,-0.00194986,9071.302,40.169,1655.799,75.096,-0.00428786,52.8,124.819,0.16353385,33764140000000.0,2203534000000.0,3.159831e+23,42.321,833.233643,4.266,51.139,384,11162,M1.0,2011.02.18_02:26_TAI
3.660308e+22,96.083,0.01100382,11181.5,34.172,2959.284,58.366,0.02125816,45.922,106.406,-0.01705309,52667480000000.0,19605900000000.0,7.582015e+23,39.879,1094.144775,4.761,561.822,377,11158,M1.4,2011.02.18_05:03_TAI
1.871772e+22,112.988,-0.00916941,9262.286,39.7,2105.211,73.971,-0.02303085,53.714,117.445,-0.00883092,42649890000000.0,10673430000000.0,3.956405e+23,43.045,982.415894,4.656,294.897,384,11162,M1.3,2011.02.18_13:04_TAI
2.966939e+22,84.946,0.01127554,4660.645,15.343,1836.218,40.557,0.03143676,34.041,90.083,-0.06867552,34206120000000.0,23792060000000.0,2.754532e+23,28.377,740.215271,4.403,501.773,393,11164,M1.1,2011.02.28_04:52_TAI
6.015712e+22,93.089,0.00679368,9929.47,29.736,4269.006,50.964,0.01328537,41.281,100.984,-0.10190898,77690740000000.0,31276790000000.0,1.059386e+24,36.515,1889.127075,4.719,545.777,393,11164,M1.2,2011.03.06_21:13_TAI
4.413383e+22,84.182,0.00433828,6995.437,24.062,3222.938,48.709,0.00935279,40.381,96.679,-0.00123127,53520020000000.0,7322981000000.0,5.629612e+23,33.283,1288.937134,4.606,262.874,394,11165,M1.5,2011.03.06_23:54_TAI
6.182489e+22,84.346,0.00481072,8749.607,26.287,4018.602,45.817,0.01038011,40.058,91.935,-0.06470862,72994350000000.0,25714720000000.0,1.014949e+24,34.434,1829.16748,4.682,420.193,393,11164,M1.4,2011.03.07_00:07_TAI
6.231932e+22,83.971,0.00373407,8585.016,25.542,4040.14,46.069,0.00801634,39.818,91.556,-0.05054609,72829580000000.0,22122770000000.0,9.972014e+23,33.948,1835.151611,4.62,326.589,393,11164,M1.8,2011.03.07_01:20_TAI
3.053955e+22,100.962,-0.0054215,15309.67,54.894,2990.389,71.501,-0.01065801,57.913,107.211,0.3576718,59792210000000.0,11065520000000.0,9.559659e+23,49.982,1400.757446,4.633,254.897,401,11166,M1.7,2011.03.09_03:07_TAI
3.118922e+22,92.537,1.985e-05,14993.08,55.891,3106.016,67.97,4.331e-05,58.162,97.566,0.22313452,59493380000000.0,7796484000000.0,1.000392e+24,50.083,1505.855103,4.825,0.997,401,11166,X1.5,2011.03.09_15:23_TAI
4.049323e+22,95.646,-0.00523875,12680.99,45.323,3366.89,61.048,-0.01030968,51.199,104.045,-0.03672149,63833330000000.0,14996770000000.0,9.742804e+23,44.921,1604.008179,4.685,303.067,401,11166,M1.3,2011.03.11_20:43_TAI
2.41066e+22,101.106,-0.02466978,9738.365,28.442,2001.224,54.003,-0.05215033,42.019,109.75,0.13949162,35377520000000.0,36804360000000.0,4.374322e+23,35.945,939.531555,4.737,834.406,407,11169,M4.2,2011.03.14_11:52_TAI
2.550022e+22,99.633,-0.026138,9513.331,27.552,2104.517,52.927,-0.0532023,40.398,108.801,-0.04440843,36969110000000.0,38998280000000.0,4.340201e+23,35.159,974.019592,4.661,897.893,407,11169,M1.0,2011.03.14_16:22_TAI
4.627286e+22,80.293,0.00678955,6589.734,25.338,2500.404,39.902,0.01678603,39.473,87.341,0.06383224,49212080000000.0,12245740000000.0,6.13066e+23,32.759,1090.286621,4.393,475.608,437,11176,M1.0,2011.03.24_04:07_TAI
4.948588e+22,101.467,0.00689168,6272.116,25.259,3417.271,51.025,0.01864121,41.194,105.17,-0.01400939,73901120000000.0,15052760000000.0,6.492376e+23,35.026,1908.483521,4.582,537.151,437,11176,M1.0,2011.03.25_15:22_TAI
2.766135e+22,123.58,-0.00886203,9436.439,32.347,2990.389,73.567,-0.02078443,46.778,131.404,0.12671195,52668500000000.0,17412790000000.0,5.218954e+23,38.643,1649.445435,4.826,369.059,495,11190,M1.3,2011.04.15_09:12_TAI
5.44029e+22,92.177,0.00591742,3752.637,15.378,3240.548,43.104,0.0176318,35.074,95.901,0.10697684,65343260000000.0,20976760000000.0,4.238661e+23,28.42,1587.961548,4.629,503.259,514,11195,M1.8,2011.04.21_20:57_TAI
5.114528e+22,97.623,0.00889004,5045.328,20.259,3556.458,49.041,0.02636825,38.586,101.589,0.07610645,72989770000000.0,29705720000000.0,5.510693e+23,31.573,1862.992554,4.762,731.117,514,11195,M1.2,2011.04.22_07:53_TAI
1.494958e+22,114.216,0.00040588,5739.086,24.108,1395.281,62.027,0.00111041,42.529,119.82,-0.17373094,28283690000000.0,2517224000000.0,1.818476e+23,35.074,564.460266,4.441,9.684,746,11260,M1.1,2011.07.27_08:07_TAI
2.102198e+22,109.245,0.02804499,12963.13,45.75,2687.534,76.226,0.06828016,55.17,116.258,0.1185974,46302630000000.0,43150760000000.0,5.906334e+23,45.363,1302.431396,4.755,962.083,750,11261,M1.4,2011.08.01_22:19_TAI
2.65878e+22,84.225,0.02754074,23099.59,64.054,2696.127,62.646,0.04071988,61.496,93.141,0.10500507,44921620000000.0,32911040000000.0,1.148803e+24,54.164,1061.758667,4.654,1031.318,753,11263,M1.7,2011.08.02_20:32_TAI
3.551166e+22,77.546,0.01554252,10533.45,34.383,2187.323,44.121,0.03175746,44.661,82.59,0.05221088,39103240000000.0,32912720000000.0,6.974305e+23,39.388,1055.675781,4.573,774.857,753,11263,M3.5,2011.08.08_10:10_TAI
3.772933e+22,71.669,0.01956487,10182.72,31.226,2405.088,41.598,0.04062031,42.81,79.488,-0.10156899,39397110000000.0,44039140000000.0,7.179145e+23,37.239,957.939941,4.639,1038.621,753,11263,M2.5,2011.08.08_19:54_TAI
3.792549e+22,68.295,0.02036125,10288.36,32.502,2526.618,40.535,0.04296755,43.251,75.627,0.03221587,40079500000000.0,41506950000000.0,7.378646e+23,38.027,955.708801,4.505,1099.528,753,11263,X6.9,2011.08.09_00:05_TAI
1.897051e+22,104.54,-0.00377856,4576.214,13.639,995.567,44.649,-0.00976895,33.097,104.877,0.01844289,20515660000000.0,3394649000000.0,1.679494e+23,27.523,637.133179,3.816,104.42,814,11286,M3.2,2011.09.04_03:45_TAI
1.847483e+22,86.854,-0.00206873,3703.155,10.436,742.515,34.912,-0.00595661,30.78,87.223,-0.09266873,14829610000000.0,1570927000000.0,1.369404e+23,24.293,444.350342,3.748,57.602,814,11286,M1.6,2011.09.04_20:28_TAI
1.902706e+22,81.475,-0.0024808,3317.9,9.939,788.278,33.677,-0.0077392,30.754,81.959,-0.11442849,15877990000000.0,1841076000000.0,1.325553e+23,23.916,400.712769,3.564,74.63,814,11286,M1.2,2011.09.04_23:58_TAI
1.707709e+22,103.606,0.00459408,7740.299,42.707,1599.608,67.815,0.0147264,55.289,103.867,0.3369242,34635970000000.0,8452537000000.0,3.363028e+23,44.287,1405.465942,4.364,150.3,833,11283,M5.3,2011.09.05_17:50_TAI
1.51566e+22,110.268,0.01034204,10109.4,40.91,1596.564,68.062,0.02741492,51.566,113.24,0.32626367,31061160000000.0,12767450000000.0,3.416311e+23,41.945,1266.835693,4.395,263.153,833,1283,X2.1,2011.09.06_14:20_TAI
1.51566e+22,110.268,0.01034204,10109.4,40.91,1596.564,68.062,0.02741492,51.566,113.24,0.32626367,31061160000000.0,12767450000000.0,3.416311e+23,41.945,1266.835693,4.395,263.153,833,11283,X2.1,2011.09.06_14:20_TAI
1.814998e+22,111.991,0.00964273,8608.146,28.132,1494.692,57.212,0.02390126,42.783,116.897,-0.09034844,29872230000000.0,10955580000000.0,3.164835e+23,35.929,1066.520996,4.394,266.949,833,11283,M6.7,2011.09.08_07:46_TAI
2.233399e+22,110.503,0.0050897,8053.734,25.357,1888.171,56.062,0.01210477,41.048,118.538,0.03450581,36953020000000.0,8962611000000.0,3.539427e+23,34.767,1025.887817,4.414,168.428,833,11283,M2.7,2011.09.08_22:11_TAI
2.60175e+22,105.462,0.00748586,7162.961,21.964,2042.531,52.933,0.01796582,38.801,113.901,0.00865109,39444340000000.0,15303120000000.0,3.606085e+23,32.956,1052.267456,4.568,283.774,833,11283,M1.2,2011.09.09_04:49_TAI
3.151742e+22,86.084,0.00412403,4674.392,16.085,1792.983,40.048,0.01207042,34.863,91.643,0.04149812,37999200000000.0,13343680000000.0,3.102534e+23,29.377,936.126343,4.215,206.103,833,11283,M1.1,2011.09.09_23:40_TAI
4.030461e+22,94.229,-0.00061957,3397.758,10.399,2308.76,41.207,-0.0017723,31.344,94.925,-0.13721664,46586910000000.0,4339107000000.0,2.689013e+23,27.021,1065.787842,4.064,36.921,878,11301,M1.8,2011.09.21_04:23_TAI
6.772559e+22,76.612,0.00164849,6506.719,19.45,3619.439,37.807,0.00405431,36.056,85.602,-0.01100021,65179020000000.0,6687965000000.0,8.377741e+23,29.917,1928.193848,4.683,159.819,856,11295,M1.6,2011.09.23_14:15_TAI
5.908702e+22,72.498,-0.01306299,15593.5,39.108,4745.856,47.941,-0.0213207,46.945,86.875,0.0418986,72986030000000.0,28391030000000.0,1.561407e+24,41.78,1936.936523,4.797,984.871,892,11302,M1.9,2011.09.23_15:56_TAI
5.812067e+22,79.76,-0.01214083,18572.23,42.626,5090.996,52.608,-0.01854495,49.205,95.744,0.15858908,80040700000000.0,20364590000000.0,1.841618e+24,43.204,1934.630981,4.971,906.495,892,11302,M7.1,2011.09.24_05:20_TAI
5.566972e+22,77.224,-0.00500368,18015.96,44.169,5098.391,51.457,-0.00860746,50.023,93.18,0.06885426,81765030000000.0,11495200000000.0,1.81127e+24,44.171,1911.000366,4.867,378.773,892,11302,M3.0,2011.09.24_11:21_TAI
5.62953e+21,92.241,-0.00854874,3580.293,19.256,380.428,46.163,-0.02256419,40.702,97.757,0.10749731,7359171000000.0,2990809000000.0,4.178032e+22,30.438,86.905327,3.546,75.118,899,11303,M1.2,2011.09.24_13:27_TAI
6.797239e+21,94.222,-0.00674196,5282.798,24.373,537.931,50.582,-0.01631438,44.027,104.572,-0.2293178,9657902000000.0,1263108000000.0,7.302734e+22,33.69,105.80658,3.502,70.17,899,11303,M1.0,2011.09.24_15:58_TAI
5.68247e+22,78.99,-0.00355413,18004.78,45.858,5482.185,51.506,-0.00561835,50.833,92.989,0.09826231,84680630000000.0,4012382000000.0,1.845462e+24,45.068,1904.476807,5.008,274.293,892,11302,M4.4,2011.09.24_18:33_TAI
5.478159e+22,83.615,-0.00480048,20931.86,47.377,5443.981,54.391,-0.00690147,51.103,99.041,0.0927915,81638530000000.0,9056230000000.0,1.935799e+24,45.694,1881.598999,5.039,334.286,892,11302,M7.4,2011.09.24_20:50_TAI
5.688026e+22,82.519,-0.00791821,19861.37,45.991,5622.276,53.245,-0.01178077,50.628,97.422,0.16785221,82752780000000.0,14449080000000.0,1.981292e+24,45.025,1804.759033,5.073,594.744,892,11302,M3.1,2011.09.25_00:49_TAI
1.368554e+22,73.952,-0.01473699,6951.905,31.09,1053.767,47.316,-0.03156853,45.371,85.297,-0.19954562,20394710000000.0,6900647000000.0,1.864306e+23,39.084,361.887604,4.121,297.584,899,11303,M1.5,2011.09.25_01:35_TAI
4.980071e+22,88.343,-0.00379322,20162.97,51.365,5331.319,58.355,-0.00587138,53.684,101.18,0.17163402,82596630000000.0,6308918000000.0,1.833979e+24,47.97,1819.781372,5.22,259.79,892,11302,M4.0,2011.09.25_21:08_TAI
