datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,gini,2,2,0.08417895031221996,0.03931027718994853,0.5308428203699281,0.21494414089683814,0.7097521948676341,0.03958163459505724,0.615021770682148,0.1903727126643973
Non_temporal,SMOTE,8,gini,2,3,0.09109545418358415,0.061693029545698996,0.6164517156277366,0.08136522972119722,0.7234076103283309,0.016430989977019528,0.7075471698113208,0.08432919934421801
Non_temporal,SMOTE,8,gini,2,5,0.1378970623358013,0.08642465398714695,0.5154048244566516,0.17057893962538706,0.6948677445964696,0.03625176510304028,0.6533018867924528,0.16394381451915555
Non_temporal,SMOTE,8,gini,2,10,0.06309389665611304,0.09396193491962529,0.5492065387575299,0.16618506063634067,0.7202783623514545,0.03928978447606107,0.6123004354136429,0.08250675523314148
Non_temporal,SMOTE,8,gini,6,2,0.08647135313005866,0.07941828061611765,0.4213902820900672,0.10617416387676677,0.7071775353611346,0.042814294766665574,0.5078616352201258,0.058485443770775906
Non_temporal,SMOTE,8,gini,6,3,0.12378082138650563,0.08742262316141784,0.4636042777910463,0.08541708076041557,0.7017282487946664,0.042303813031366835,0.5873850991775519,0.09749307359099738
Non_temporal,SMOTE,8,gini,6,5,0.10300222095660355,0.07516993067743814,0.44979168325239494,0.07482691751078409,0.7108046218160858,0.03250809066675236,0.5527939042089985,0.10551104488607717
Non_temporal,SMOTE,8,gini,6,10,0.15006664911131115,0.06806875826683348,0.44995754053552,0.06048759623388057,0.6907972656816915,0.03294139147270052,0.6000241896468311,0.04225267314742956
Non_temporal,SMOTE,8,gini,10,2,0.14082048832466793,0.07201406552398189,0.37079054215428714,0.0648832104237346,0.6855116176748913,0.03526635153195408,0.5116110304789551,0.09142846545304283
Non_temporal,SMOTE,8,gini,10,3,0.16081853886367856,0.09142739640772855,0.3729864925828623,0.04454677251394935,0.6760443335040108,0.04497090443608334,0.5338050314465408,0.057213149212245316
Non_temporal,SMOTE,8,gini,10,5,0.166458707150133,0.07476151668072693,0.3066303107502057,0.03150167822929615,0.6613872243601703,0.041325304543541976,0.47308901790033864,0.06828727553448909
Non_temporal,SMOTE,8,gini,10,10,0.14918505386023895,0.055775428030376606,0.3329750816017833,0.04809875302754686,0.6737677898674354,0.031133328825222007,0.4821601354620222,0.05420063380125505
Non_temporal,SMOTE,8,gini,12,2,0.14870840554504275,0.054469928709257924,0.3560690497041106,0.06660125542112656,0.6756411858059613,0.03645794243608322,0.5047774552491534,0.03453665125388102
Non_temporal,SMOTE,8,gini,12,3,0.14619962276398868,0.0827981474358341,0.31080327999363105,0.059108868526444105,0.669233621618098,0.04634088786966449,0.45700290275761973,0.07390157324439817
Non_temporal,SMOTE,8,gini,12,5,0.1615613243270277,0.03757833860355649,0.3213849746570071,0.029251117097666316,0.6680438849314152,0.010718421811901784,0.4829462989840349,0.06417019097994928
Non_temporal,SMOTE,8,gini,12,10,0.14601666942244926,0.05538447216044215,0.28552663004537854,0.05463953359223881,0.662015719955953,0.043752565505183076,0.4315432994678279,0.05075490005753036
Non_temporal,SMOTE,8,entropy,2,2,0.13619307012547996,0.07625857873941483,0.4689714194729719,0.17964274623364293,0.7056085818133041,0.03400620264846727,0.6051644895984518,0.23225390732740708
Non_temporal,SMOTE,8,entropy,2,3,0.14911590413142836,0.06881019773823227,0.5173088660669266,0.1628591997681278,0.6905160097083559,0.039143824477100936,0.6664247701983551,0.13845456326626251
Non_temporal,SMOTE,8,entropy,2,5,0.10803305510136176,0.06849538921623272,0.5560332245309557,0.16659468905453811,0.7111956275204544,0.02638937704980652,0.6640662796323173,0.13980848150386227
Non_temporal,SMOTE,8,entropy,2,10,0.09134730208888316,0.10984406950867151,0.480435474882573,0.0852361834169715,0.7148376949820756,0.041879405691135005,0.5717827769714562,0.10086482682784616
Non_temporal,SMOTE,8,entropy,6,2,0.13664573292588578,0.08009029528888018,0.42461454767401746,0.08008489605240847,0.6919223030053798,0.03704284490844301,0.5612602805999033,0.08386460638350696
Non_temporal,SMOTE,8,entropy,6,3,0.11749942332698482,0.06277768598960176,0.38770135074171375,0.0672196497046588,0.695968279599131,0.02779787687347798,0.5052007740686987,0.06711831523188841
Non_temporal,SMOTE,8,entropy,6,5,0.16914559513675828,0.09290900292018853,0.5004843032667251,0.08169564310534459,0.6882429441113059,0.043786471493425586,0.6696298984034833,0.06063805186937468
Non_temporal,SMOTE,8,entropy,6,10,0.11125527936490438,0.08787924955790337,0.46040654937239606,0.051031075820847156,0.706610605978997,0.037026033923848484,0.5716618287373004,0.056702055614483236
Non_temporal,SMOTE,8,entropy,10,2,0.13505069619232504,0.05404661189800179,0.3982100682005148,0.06963494043196232,0.6893060761057979,0.028734996685630742,0.5332607643928399,0.05204836904975599
Non_temporal,SMOTE,8,entropy,10,3,0.09361776071233917,0.08086392320730204,0.3666507443674867,0.08591066271903723,0.6998363416639326,0.04622532951148846,0.46026850507982586,0.06618302955680651
Non_temporal,SMOTE,8,entropy,10,5,0.10816599609291273,0.04816579479394525,0.3614759971339861,0.05908350420442478,0.6982359345211009,0.025898805251176243,0.4696419932268989,0.0781539937437349
Non_temporal,SMOTE,8,entropy,10,10,0.0961125094155904,0.060390309941437174,0.37727887907013774,0.027981855328742162,0.7059204470313788,0.027288855303267693,0.4733913884857281,0.05170066634520135
Non_temporal,SMOTE,8,entropy,12,2,0.0993561675434138,0.06993998143918408,0.360368070482711,0.08749415202703738,0.6987926091856805,0.03901160337872955,0.45972423802612483,0.0775543240571798
Non_temporal,SMOTE,8,entropy,12,3,0.13286061455992193,0.06129108025918631,0.38776105936363886,0.024960792650089898,0.6918302258642312,0.028377388386423646,0.5206216739235607,0.05563898128280289
Non_temporal,SMOTE,8,entropy,12,5,0.11498477174975859,0.044707513563061636,0.36451450256083645,0.05261389222751371,0.6935711214692509,0.02825543065315206,0.4794992743105951,0.031919164768208275
Non_temporal,SMOTE,8,entropy,12,10,0.139073883550836,0.07778402527078089,0.34985935302391,0.049498195043522944,0.6812351843585773,0.04218219917126092,0.488933236574746,0.06844978198630652
Non_temporal,SMOTE,12,gini,2,2,0.16275096049795515,0.04686097822918191,0.3766154499376377,0.1474716286446169,0.6641338999849637,0.041399692894871644,0.5393664104355927,0.1378121658094729
Non_temporal,SMOTE,12,gini,2,3,0.17507747377980643,0.06772111786270328,0.5990897752302099,0.04946848104721272,0.6972293611031027,0.022874471164754343,0.7741672490100164,0.04541994412588821
Non_temporal,SMOTE,12,gini,2,5,0.13392791326474948,0.036336281836697876,0.490751797892949,0.15055647150175938,0.6898019638733667,0.04396064091422644,0.6246797111576986,0.12817826905800708
Non_temporal,SMOTE,12,gini,2,10,0.16489383659593038,0.07141442702769625,0.4719568505692222,0.15927972768787887,0.6807126091580306,0.04647610564176232,0.6368506871651526,0.16494957358693918
Non_temporal,SMOTE,12,gini,6,2,0.13384387890796615,0.08547109727332783,0.4176352732001168,0.1214137486518844,0.6894891104648097,0.03703584640535634,0.551479152108083,0.13381317581925967
Non_temporal,SMOTE,12,gini,6,3,0.15067876171689562,0.047799964617590104,0.4921118276145742,0.07947185566964361,0.693283909713536,0.024806600291424633,0.6427905893314698,0.06050197089822586
Non_temporal,SMOTE,12,gini,6,5,0.13276912371331606,0.0656436949816065,0.44072260701111915,0.09814367538229865,0.6918611390818326,0.03010929328665455,0.573491730724435,0.0695059417284967
Non_temporal,SMOTE,12,gini,6,10,0.10369765912716315,0.11708047540512986,0.35134543428071013,0.10476973117916305,0.6895522594423676,0.059270588956726336,0.45504309340787324,0.10384388673161618
Non_temporal,SMOTE,12,gini,10,2,0.18675677508572977,0.06832527676242578,0.330480588063583,0.06069700769620603,0.6530292644074372,0.03677959308001726,0.5172373631493129,0.060262042340714826
Non_temporal,SMOTE,12,gini,10,3,0.13675338422571923,0.07597326690403755,0.32102672292545703,0.06283363231791432,0.6741857202636767,0.04611572166408108,0.4577801071511763,0.0741313019957892
