datatype,sampling,time_step,max_features,min_samples_leaf,min_samples_split,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,2,3,8,2,5,0.04631041542911621,0.08063789907193843,0.611164185441711,0.15137052814071528,0.7367700885670682,0.029018644762206187,0.6574746008708273,0.17239069647265648
Non_temporal,SMOTE,8,2,3,8,2,10,0.061405724678951314,0.062154114090444315,0.5679484117506568,0.09561690318675181,0.7325995374273205,0.020654183290197612,0.6293541364296081,0.12998532705872887
Non_temporal,SMOTE,8,2,3,8,2,20,0.10974546775836479,0.060669798277037085,0.5638152482551815,0.05802274313142826,0.7156660343114073,0.01829004169707992,0.6735607160135463,0.06819056722188811
Non_temporal,SMOTE,8,2,3,8,2,30,0.12406124777751242,0.06105660994853754,0.5174481861847519,0.09124759525882642,0.7056293049216295,0.030714244185702656,0.6415094339622641,0.07494565893330887
Non_temporal,SMOTE,8,2,3,8,5,5,0.2403348581996779,0.058354207318460805,0.3530371785685853,0.05089723323926212,0.6394441220260921,0.03470049797371943,0.5933720367682632,0.04595762347853872
Non_temporal,SMOTE,8,2,3,8,5,10,0.23147093465937507,0.05552116424334255,0.33722766234110874,0.043855731276191086,0.6409575052526516,0.02263785984017966,0.5686985970004838,0.0783637227087307
Non_temporal,SMOTE,8,2,3,8,5,20,0.21224093092375873,0.0691959560233313,0.34986598731523494,0.05623081775329204,0.6489723937559121,0.03689502330059366,0.5621069182389937,0.04333598183913117
Non_temporal,SMOTE,8,2,3,8,5,30,0.2523638490321079,0.07293014256949598,0.36677016161133663,0.0786320210038719,0.634170758912788,0.05094356331348209,0.6191340106434445,0.03567070806724176
Non_temporal,SMOTE,8,2,3,8,10,5,0.332565031364888,0.06892629481370699,0.25191731019292524,0.04584516123268071,0.5619158117727174,0.04748919085073391,0.5844823415578132,0.06458989592380462
Non_temporal,SMOTE,8,2,3,8,10,10,0.3664884593950751,0.06637430826797519,0.22760926677812277,0.03186031775067644,0.5341413836099581,0.043335719499464666,0.5940977261731978,0.05778377043827518
Non_temporal,SMOTE,8,2,3,8,10,20,0.38075856487010057,0.06259667500774335,0.20021627789719498,0.03687082057543156,0.505585355273134,0.05537299468471497,0.5809748427672956,0.039215448292157534
Non_temporal,SMOTE,8,2,3,8,10,30,0.38933236574746005,0.07465125726914065,0.2012578616352201,0.03565197543015926,0.5030673728786936,0.06135609375539254,0.5905902273826803,0.049878793679710806
Non_temporal,SMOTE,8,2,3,10,2,5,0.0697036921362214,0.09348088705028099,0.5815420746755832,0.12487984486153893,0.7257990893311993,0.036622123198282966,0.6512457668118046,0.11028338613439502
Non_temporal,SMOTE,8,2,3,10,2,10,0.11185899987547944,0.05417104041268173,0.4943940238303744,0.13039179579292842,0.7054366338701974,0.030495238370960288,0.6062530237058539,0.10708784587415611
