datatype,sampling,time_step,C,gamma,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,0.1,1.0,0.05146612993533939,0.08652449222880614,0.09480403135498319,0.032888746923127384,0.659470251970252,0.16357105063818894,0.14627016129032258,0.0775613119101845
Non_temporal,SMOTE,8,0.1,0.1,0.19416909746053537,0.08520040340684998,0.37085106382978716,0.06314562416043677,0.6605692197376106,0.046595788820051054,0.5650201612903227,0.06328244934854774
Non_temporal,SMOTE,8,0.1,0.01,0.14898579453093955,0.11804138236855985,0.4225867861142218,0.055674312453662105,0.6884688230634777,0.051755325826455055,0.5715725806451614,0.08772825883683766
Non_temporal,SMOTE,8,0.1,0.07,0.18154106310732215,0.06580426510757811,0.3993057110862262,0.06324443889028847,0.6708470613891636,0.0381227514767164,0.5808467741935485,0.04014021259950948
Non_temporal,SMOTE,8,0.1,0.001,0.155683384206914,0.10613168455271195,0.5206270996640537,0.05455265065524027,0.6983566805752751,0.03629646288501073,0.6763104838709678,0.09110745221575224
Non_temporal,SMOTE,8,0.1,0.005,0.15143700556298087,0.11776615739001452,0.4647928331466965,0.06539171076539192,0.6924534543700003,0.04785218052174523,0.6162298387096775,0.08831249288879876
Non_temporal,SMOTE,8,0.1,0.0001,0.14926112144637502,0.12011312926609852,0.5016461366181411,0.04832662134379354,0.6994011370829207,0.04263694422825655,0.6509072580645162,0.10765359742057415
Non_temporal,SMOTE,8,1.0,1.0,0.1126933948632735,0.09169689209040123,0.16331466965285552,0.02903301306978012,0.6453859103859104,0.08965867448460751,0.276008064516129,0.08668041911084677
Non_temporal,SMOTE,8,1.0,0.1,0.20570950583390527,0.07706418748256864,0.3372340425531915,0.05391681457814484,0.6488607196209061,0.04246709244612548,0.5429435483870968,0.06027382884211224
Non_temporal,SMOTE,8,1.0,0.01,0.19198287306289058,0.07161695770299274,0.461545352743561,0.07092459632530813,0.6773868569075996,0.03436592638405104,0.6535282258064516,0.06430321786188728
Non_temporal,SMOTE,8,1.0,0.07,0.21849589549543041,0.07491133770646059,0.3656774916013438,0.05823346642499572,0.6505011302480029,0.038962985277553416,0.5841733870967741,0.05905615000495636
Non_temporal,SMOTE,8,1.0,0.001,0.15848399739912583,0.11364966992262188,0.4225643896976484,0.055884360855944025,0.6848769967397814,0.04904655360580165,0.5810483870967743,0.08508470598778664
Non_temporal,SMOTE,8,1.0,0.005,0.1932678900408193,0.07488159178567866,0.44786114221724527,0.05136383161328226,0.6764658671874885,0.030956619636646802,0.6411290322580646,0.06086406047874606
Non_temporal,SMOTE,8,1.0,0.0001,0.14810980565690135,0.121730796606248,0.5121724524076148,0.05445756850387649,0.6996669766930227,0.04298402524874399,0.6602822580645162,0.09468296612317008
Non_temporal,SMOTE,8,4.0,1.0,0.11140413340317164,0.07004187670964833,0.15805151175811868,0.02439792267713528,0.6430142298991542,0.06248697903523536,0.26945564516129034,0.07523707598057743
Non_temporal,SMOTE,8,4.0,0.1,0.20455665480619878,0.10692718648271729,0.2909070548712206,0.05126083781848991,0.6362674675757928,0.0627440705411112,0.4954637096774194,0.08870767272294972
Non_temporal,SMOTE,8,4.0,0.01,0.23555943629664416,0.06546321830391885,0.4373236282194849,0.05955147890596792,0.6603331655218372,0.028427497341675094,0.6728830645161291,0.07242541924910002
Non_temporal,SMOTE,8,4.0,0.07,0.21398141458656936,0.11424329230667057,0.3130347144456887,0.058329234375179624,0.6394678674631505,0.0624755037803082,0.5270161290322581,0.10289450362468665
Non_temporal,SMOTE,8,4.0,0.001,0.1901757847776614,0.08326570499684283,0.4447032474804031,0.05721924590338432,0.6767148498762353,0.03589885568979748,0.6348790322580646,0.07278868035287499
Non_temporal,SMOTE,8,4.0,0.005,0.21625435736733736,0.08397859292264444,0.459451287793953,0.07352966379145506,0.6688582260283267,0.03947136146413553,0.6757056451612904,0.07213129552125347
Non_temporal,SMOTE,8,4.0,0.0001,0.1514622466856916,0.11675074974756244,0.4774692049272115,0.0695986401563036,0.6938624854280144,0.045957727441090265,0.6289314516129033,0.09161243513127233
Non_temporal,SMOTE,8,10.0,1.0,0.10413439656106635,0.07698504825776455,0.15594624860022396,0.02965763384972397,0.6461921927401802,0.07657243228531274,0.2600806451612903,0.073905636585762
Non_temporal,SMOTE,8,10.0,0.1,0.20961465520355455,0.06909111545725903,0.2698208286674132,0.04540486822538136,0.6275196910187841,0.040792261877601044,0.4794354838709678,0.07672450487818955
Non_temporal,SMOTE,8,10.0,0.01,0.2447376548784453,0.05639018317167243,0.4088913773796192,0.06107433811300606,0.6520959169280872,0.025046436353517526,0.6536290322580645,0.08503213913117631
Non_temporal,SMOTE,8,10.0,0.07,0.2106715312646751,0.10407298626422753,0.2877155655095185,0.04030882297782874,0.6350181028437206,0.058212437855756895,0.49838709677419357,0.09764414922427012
