datatype,sampling,time_step,n_estimators,learning_rate,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,5,0.001,0.15509166275331432,0.0686103303850616,0.27918253079507277,0.03159428955497666,0.6595236501390784,0.0436347502397638,0.4342741935483871,0.06727167321904447
Non_temporal,SMOTE,8,5,0.01,0.14236765343351515,0.08197392382876074,0.27920492721164614,0.031019807074014187,0.6667436928583136,0.04973532378538016,0.4215725806451613,0.07567443033725357
Non_temporal,SMOTE,8,5,0.05,0.15282817974930465,0.07606391091279278,0.27499440089585664,0.02966794264394795,0.6594710913288017,0.04927214894003313,0.4278225806451613,0.06819643995456498
Non_temporal,SMOTE,8,5,0.1,0.1625608902575588,0.08110038738999832,0.2718141097424412,0.03669145706031419,0.6538695157269208,0.04839145153850975,0.434375,0.08298942787203425
Non_temporal,SMOTE,8,10,0.001,0.14568164577538562,0.07853785163665546,0.27286674132138855,0.03135986404180729,0.6629135755071044,0.04901170717457712,0.4185483870967742,0.07214362156971736
Non_temporal,SMOTE,8,10,0.01,0.15077820774482537,0.08306703484338475,0.2739193729003359,0.028598060093822847,0.6611493823159981,0.05192693195372824,0.4246975806451613,0.07816245200117244
Non_temporal,SMOTE,8,10,0.05,0.13706735631976302,0.0741160791642286,0.2686786114221724,0.028890945507505945,0.6660885621352712,0.04712805205565588,0.4057459677419355,0.06548890178613477
Non_temporal,SMOTE,8,10,0.1,0.1732230294765741,0.07799953584194844,0.2676035834266517,0.03683894137818632,0.6468908437803149,0.046882713899785676,0.4408266129032258,0.08251492992725681
Non_temporal,SMOTE,8,20,0.001,0.16252587327963008,0.0818220503943682,0.26549832026875697,0.029354707752982052,0.6522780028039774,0.049988618818198625,0.4280241935483871,0.07925105493705958
Non_temporal,SMOTE,8,20,0.01,0.15814662879745692,0.0909006703490947,0.2665509518477044,0.03969742093668114,0.653102142010126,0.06172642853028335,0.4246975806451613,0.0794826109793893
Non_temporal,SMOTE,8,20,0.05,0.1561729445869306,0.06768479379952935,0.25602463605823067,0.04139806764530435,0.649937533441944,0.050261441778988544,0.4121975806451613,0.06795648448211969
Non_temporal,SMOTE,8,20,0.1,0.1866131967272333,0.0736840342594913,0.24131019036954088,0.03952667573137707,0.6283679191009506,0.055421846520080864,0.4279233870967742,0.0734854141354648
Non_temporal,SMOTE,8,50,0.001,0.156242978542788,0.08430056390283697,0.26865621500559905,0.03024082108715644,0.656220025104664,0.052191026004818175,0.4248991935483871,0.0769335527797479
Non_temporal,SMOTE,8,50,0.01,0.1466313486616335,0.0841640445339787,0.2623404255319149,0.041469190956664286,0.6563858637007352,0.06186559100605553,0.4089717741935484,0.06695559659447879
Non_temporal,SMOTE,8,50,0.05,0.17020721200736916,0.042909053189202614,0.2549944008958567,0.03539514150493567,0.6421243549431355,0.03366194705112731,0.4252016129032258,0.047720543376471324
Non_temporal,SMOTE,8,50,0.1,0.1728701504533468,0.08476433560013517,0.24235162374020155,0.0396076622065708,0.6373379511259989,0.06036760494993081,0.4152217741935484,0.0895277641559347
Non_temporal,SMOTE,12,5,0.001,0.1531914968873797,0.09055138497904143,0.28017543859649124,0.038107630990452876,0.6610239079751276,0.041950578896822646,0.433366935483871,0.10258754169160982
Non_temporal,SMOTE,12,5,0.01,0.16676393604980194,0.0893476093340062,0.2633771929824561,0.0297651627289471,0.6493561117245328,0.04429225011260588,0.4301411290322581,0.09812880269280798
Non_temporal,SMOTE,12,5,0.05,0.1583517260894171,0.0715978737372271,0.2654385964912281,0.031036427777441852,0.6537832832076962,0.03580544476533218,0.4237903225806452,0.08591193984184117
Non_temporal,SMOTE,12,5,0.1,0.16789544425580077,0.10105944322208861,0.2623464912280702,0.04160687075913662,0.6475146804607652,0.057772069662134426,0.430241935483871,0.10843494677502256
Non_temporal,SMOTE,12,10,0.001,0.15615874363327675,0.07721208591517581,0.2738815789473684,0.03967401044126608,0.6559287452359088,0.0400799581417973,0.4300403225806452,0.0832299968468705
Non_temporal,SMOTE,12,10,0.01,0.1730577956989247,0.10364849448986654,0.2570833333333334,0.03319646705217403,0.6434373136202404,0.05685681198850319,0.4301411290322581,0.10392851830909568
Non_temporal,SMOTE,12,10,0.05,0.15936049801924165,0.07612480679408264,0.26755482456140356,0.03588145704778818,0.6530994516955815,0.040445693210020776,0.4269153225806452,0.08578534266562736
Non_temporal,SMOTE,12,10,0.1,0.17613893604980194,0.09933946727475457,0.26650219298245614,0.03811360765562923,0.6454850749972701,0.05383180045199279,0.4426411290322581,0.10775021434836028
Non_temporal,SMOTE,12,20,0.001,0.16452497170345218,0.08808723204018439,0.268640350877193,0.03988721017120165,0.6499339241654841,0.04902618049243469,0.4331653225806452,0.08856069096388669
Non_temporal,SMOTE,12,20,0.01,0.17282328805885683,0.08404730869272045,0.2633662280701755,0.0353665065603092,0.6445981359989927,0.04702663210713477,0.4361895161290323,0.08725676250072072
Non_temporal,SMOTE,12,20,0.05,0.1677267260894171,0.07589283574292792,0.2623135964912281,0.03397162882891134,0.6472952902952903,0.03912470229676347,0.4300403225806452,0.08667854333761081
Non_temporal,SMOTE,12,20,0.1,0.18546795415959255,0.07962483457795402,0.2601973684210527,0.03677011031557109,0.637532500179559,0.04277457833964044,0.4456653225806452,0.09365722299686721
Non_temporal,SMOTE,12,50,0.001,0.16973330503678552,0.09512369264217364,0.26655701754385963,0.04236184272965635,0.64595676018832,0.05574927443479881,0.4362903225806452,0.09029557487979137
Non_temporal,SMOTE,12,50,0.01,0.17509726938313525,0.0924995253633779,0.26129385964912283,0.036775603095961784,0.6427374701584507,0.05097573273678609,0.4363911290322581,0.09537425126846769
Non_temporal,SMOTE,12,50,0.05,0.18652058573853988,0.07253394577145812,0.25914473684210526,0.03311709205129782,0.6366431048474392,0.03543944173696705,0.4456653225806452,0.08828993668298167
Non_temporal,SMOTE,12,50,0.1,0.19073111205432935,0.08118378267634674,0.24868421052631579,0.03374090765889449,0.6302501473622164,0.04352782019248429,0.4394153225806452,0.09082258503116379
Non_temporal,SMOTE,24,5,0.001,0.18729205716963454,0.06131037716019056,0.26185567010309274,0.04498437985416789,0.6352734859641789,0.037571852461693624,0.4491477272727272,0.07215641896349517
Non_temporal,SMOTE,24,5,0.01,0.19232368791002813,0.06313717396074923,0.2721649484536083,0.040770556563474614,0.6360318217118828,0.04074505966395559,0.46448863636363635,0.059551143923009794
Non_temporal,SMOTE,24,5,0.05,0.20382302405498284,0.06797160829520982,0.26701030927835046,0.04643754898785653,0.628976925326058,0.039534604771342206,0.4708333333333334,0.08218125809901218
Non_temporal,SMOTE,24,5,0.1,0.1820427210246798,0.059323749841199924,0.26701030927835046,0.03814432989690722,0.6411340285460492,0.0306171538301836,0.4490530303030303,0.0747204097618999
Non_temporal,SMOTE,24,10,0.001,0.1862933458294283,0.05672905697781876,0.2659793814432989,0.04014004604934388,0.6379361476785647,0.03300532377861226,0.45227272727272727,0.06808600169771242
Non_temporal,SMOTE,24,10,0.01,0.18404209621993128,0.06640786306069549,0.268041237113402,0.040978570957426366,0.6388897198516492,0.04371495999651931,0.4520833333333334,0.06431618523152982
Non_temporal,SMOTE,24,10,0.05,0.20875800531084038,0.06854544660086533,0.268041237113402,0.046563256868602944,0.6270684798002298,0.038942946856775885,0.4767992424242424,0.08361720975297655
Non_temporal,SMOTE,24,10,0.1,0.1664177210246798,0.07698047119946601,0.26701030927835046,0.045278744857727315,0.6490673078000831,0.04646605331966317,0.4334280303030303,0.08783984940950063
Non_temporal,SMOTE,24,20,0.001,0.18023273976882226,0.06908535790026052,0.2659793814432989,0.037681787386591885,0.6418296510462973,0.040470936228578266,0.44621212121212117,0.07547627699105032
Non_temporal,SMOTE,24,20,0.01,0.198571735395189,0.07700517497102195,0.2628865979381443,0.051803482583097374,0.6287071831671656,0.05190194546783677,0.4614583333333334,0.08233633320688385
Non_temporal,SMOTE,24,20,0.05,0.2006335910652921,0.07388935858402527,0.2608247422680412,0.05196735324176725,0.6268718416012588,0.04807540997950663,0.4614583333333334,0.08582079739757144
Non_temporal,SMOTE,24,20,0.1,0.1655742346141831,0.08643312025444072,0.2587628865979381,0.04597753220820156,0.647966054682701,0.05124853262268627,0.4243371212121212,0.09898750838595774
Non_temporal,SMOTE,24,50,0.001,0.18226433145891907,0.0647739031984578,0.2701030927835052,0.04628854499101783,0.6410620300155184,0.04007570547124549,0.4523674242424242,0.07682842829950676
Non_temporal,SMOTE,24,50,0.01,0.18916647141518278,0.06098937794759111,0.26907216494845354,0.04160914653734137,0.638028300762277,0.03399516160910451,0.4582386363636363,0.07726419711161844
Non_temporal,SMOTE,24,50,0.05,0.2099744220556076,0.08411019828214236,0.24845360824742269,0.05912350910902956,0.6150577701122646,0.06152204088639691,0.45842803030303025,0.08425630616833515
Non_temporal,SMOTE,24,50,0.1,0.18325718525460793,0.09233591043868863,0.23814432989690718,0.05463917525773195,0.6271154821148629,0.06505971040469105,0.42140151515151514,0.09586308527268546
Non_temporal,SMOTE,36,5,0.001,0.0891558926329363,0.06290037934262535,0.2964501679731243,0.032658016991128025,0.6931839272659509,0.03320200640651681,0.3856060606060606,0.07225174001228324
Non_temporal,SMOTE,36,5,0.01,0.09743885523770741,0.07403602509565446,0.29432250839865626,0.037052028411356394,0.6876741311711718,0.04128417018079126,0.3917613636363636,0.07716036700645124
Non_temporal,SMOTE,36,5,0.05,0.09790001781533136,0.0832603818007601,0.28477043673012314,0.03220940320514872,0.6869378455925915,0.04636282732137436,0.38267045454545456,0.08597989448083616
Non_temporal,SMOTE,36,5,0.1,0.0949079965387356,0.07198255868354565,0.2783874580067189,0.05004408996461176,0.6918002692551931,0.03640946473133065,0.37329545454545454,0.11240957109407419
Non_temporal,SMOTE,36,10,0.001,0.08399793002816518,0.0691225193673012,0.29857782754759243,0.035978016891417,0.6968579255859122,0.0356569337059793,0.38257575757575757,0.07993344231124117
Non_temporal,SMOTE,36,10,0.01,0.0871117318198785,0.067833229341795,0.2985890257558791,0.03448896173263337,0.6954803670283547,0.034332106642689396,0.38570075757575756,0.08139539200640311
Non_temporal,SMOTE,36,10,0.05,0.09662439767213005,0.06370366280005653,0.2858566629339306,0.05279959482196918,0.6876300624153057,0.030203559280738503,0.3824810606060606,0.09531752167671194
Non_temporal,SMOTE,36,10,0.1,0.10100149733618377,0.0616596496141778,0.2752295632698768,0.046656842642890335,0.6851669978194296,0.029863471693841917,0.3762310606060606,0.0965584560008883
Non_temporal,SMOTE,36,20,0.001,0.09340582476500729,0.06800142822887807,0.2954199328107503,0.038789870981118524,0.6909995522511915,0.03575111849474923,0.38882575757575755,0.08152435666736382
Non_temporal,SMOTE,36,20,0.01,0.096719094641827,0.06544252172950986,0.2858566629339306,0.03501434773059815,0.6875905436280727,0.035393591063376965,0.38257575757575757,0.0774514699649046
Non_temporal,SMOTE,36,20,0.05,0.11048820370558891,0.090798175003311,0.2784322508398656,0.04198785183268171,0.6787506057884363,0.0500079869306939,0.38892045454545454,0.09798647392940282
Non_temporal,SMOTE,36,20,0.1,0.11161739879195084,0.07092733404007749,0.26461366181410967,0.04159964819400347,0.6740037410241146,0.038681570085132816,0.3762310606060606,0.08354511012187057
Non_temporal,SMOTE,36,50,0.001,0.0924749737011775,0.06602510111879901,0.29010078387458005,0.03315771131414568,0.6910470888254187,0.03413488147744183,0.38257575757575757,0.07993344231124117
Non_temporal,SMOTE,36,50,0.01,0.09588762767654144,0.08748560006956572,0.2741881298992161,0.0473474032033615,0.6874754100857666,0.04676945634883654,0.37007575757575756,0.10353441041083132
Non_temporal,SMOTE,36,50,0.05,0.12808975109437032,0.07933325679087777,0.2699216125419933,0.03122281374079143,0.666400102625231,0.04454961994146804,0.39801136363636364,0.08292778600153089
Non_temporal,SMOTE,36,50,0.1,0.11086474345922834,0.07529572363150035,0.25930571108622624,0.03932711903805163,0.6726296306420284,0.04551381164477267,0.37017045454545455,0.08032117478331653
Non_temporal,SMOTE,48,5,0.001,0.19676899187768754,0.07539505749358374,0.2657310081223125,0.059160275232244486,0.6159392780847786,0.06237528100087261,0.4625,0.06059599821770411
Non_temporal,SMOTE,48,5,0.01,0.19565814620162447,0.08240758720819533,0.26684185379837555,0.05568858557849502,0.6185680311997194,0.06198841044934943,0.4625,0.0723489806424389
Non_temporal,SMOTE,48,5,0.05,0.212505972288581,0.08864051940332501,0.262494027711419,0.051300706035749113,0.6087932370090401,0.06376597340304982,0.475,0.06959705453537526
