datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,gini,2,2,0.04245206469352635,0.0854719524224267,0.6257264549000876,0.20615607938757302,0.7519967545008187,0.050825686957984666,0.668178519593614,0.2641050646439555
Non_temporal,SMOTE,8,gini,2,3,0.0441392160104842,0.03614646541980502,0.39568903749701456,0.38617154735505577,0.5612847222222223,0.21803750420741,0.4398282535074987,0.37827973685575444
Non_temporal,SMOTE,8,gini,2,5,0.05949581427250402,0.05426027532630908,0.4221200541358172,0.4045454761496495,0.5397662375468301,0.2328910579692625,0.4816158684083212,0.3792558448202208
Non_temporal,SMOTE,8,gini,2,10,0.09826661277580791,0.055553724204801674,0.6773744128652178,0.32974389895178213,0.6371114747370958,0.19640978054888902,0.7756410256410257,0.3250309341523127
Non_temporal,SMOTE,8,gini,6,2,0.0868579281822654,0.05617716211222277,0.44682615503011974,0.21385328463055414,0.6640455020412602,0.12650743216737176,0.5336840832123851,0.18074637208224137
Non_temporal,SMOTE,8,gini,6,3,0.1146191202317307,0.08905455773638954,0.4182787994586418,0.2057803368332825,0.6614534490630981,0.13225779669316962,0.5328979196903726,0.17353660897700307
Non_temporal,SMOTE,8,gini,6,5,0.16851278581037357,0.055278157649562086,0.5365549452007536,0.11385289793081464,0.6922524218020542,0.027066461751817976,0.7050677310111273,0.09678105463030207
Non_temporal,SMOTE,8,gini,6,10,0.2105724066555211,0.03731862947524994,0.4340816813947934,0.050260806108247985,0.6689373016739877,0.018026482039626472,0.6446540880503144,0.05624899152012327
Non_temporal,SMOTE,8,gini,10,2,0.2283796100669757,0.11548832873810062,0.44149218480481917,0.08093414209610929,0.6596282053577277,0.05837073366197145,0.6698717948717948,0.06557371675161902
Non_temporal,SMOTE,8,gini,10,3,0.18825133349255632,0.11267703826825941,0.3329750816017833,0.15474055349892998,0.646991052595768,0.061529113581366944,0.5212264150943396,0.16352086079311415
Non_temporal,SMOTE,8,gini,10,5,0.2323821290563588,0.03967794467003949,0.38366770161611335,0.12240654704578306,0.6449607338679705,0.033887366434745284,0.6160498306724721,0.13155750478041384
Non_temporal,SMOTE,8,gini,10,10,0.2703287444450568,0.08511430885043429,0.33616617572910856,0.07366951560100995,0.6203379701219902,0.054250059036242,0.6064949201741654,0.07532028825751928
Non_temporal,SMOTE,8,gini,12,2,0.2331182802283829,0.06356809796936781,0.3509407425098851,0.09700921479325948,0.635877965202673,0.04399283649924789,0.584059022738268,0.07069131997419037
Non_temporal,SMOTE,8,gini,12,3,0.268170303278973,0.052581794440978026,0.31927527001565686,0.0251322410993093,0.6211692383972947,0.01951480014162446,0.5874455732946299,0.06008303637726873
Non_temporal,SMOTE,8,gini,12,5,0.25036156887721256,0.0956775000498796,0.2834434625693283,0.06524542028407772,0.6066382507168415,0.08081836368420003,0.5338050314465409,0.07361081332443235
Non_temporal,SMOTE,8,gini,12,10,0.3089762982287462,0.04792430799478981,0.30665021362418066,0.08374462970067816,0.5929719572169581,0.04533615397494365,0.6156265118529269,0.06908918432454256
Non_temporal,SMOTE,8,entropy,2,2,0.04296111897019467,0.03664254904262558,0.569520738794682,0.3745972784575923,0.7058669368569236,0.09426477336644602,0.6124818577648766,0.3930890550475057
Non_temporal,SMOTE,8,entropy,2,3,0.040540368131722314,0.015576250287242634,0.5845805801024335,0.4041453232082024,0.6470060189382171,0.17963749214018912,0.6251209482341558,0.41062588568297914
