datatype,sampling,time_step,solver,shrinkage,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,svd,,0.3406295379836001,0.09499917302927366,0.32025755879059353,0.045499091982202575,0.5920833403431638,0.044961977968000985,0.6608870967741935,0.08270332330217285
Non_temporal,SMOTE,8,lsqr,0.0,0.3406295379836001,0.09499917302927366,0.32025755879059353,0.045499091982202575,0.5920833403431638,0.044961977968000985,0.6608870967741935,0.08270332330217285
Non_temporal,SMOTE,8,lsqr,0.01,0.2372096819347614,0.11829978163019896,0.35402015677491605,0.043680253225789674,0.643638774927756,0.05296161881175631,0.5912298387096775,0.10348483165693663
Non_temporal,SMOTE,8,lsqr,0.02,0.19726215095907237,0.13567903532106987,0.37824188129899217,0.05426578366857941,0.6637275218982999,0.059716407431339234,0.5755040322580646,0.10702725932407836
Non_temporal,SMOTE,8,lsqr,0.03,0.15944157966983347,0.14432048593795202,0.39721164613661814,0.049920814996113526,0.6827694023866748,0.059205332944912245,0.5566532258064516,0.1172295385055789
Non_temporal,SMOTE,8,lsqr,0.04,0.14934230845645344,0.16242624151841228,0.4140649496080627,0.05593661856749171,0.689260423220846,0.06550616960391462,0.5634072580645162,0.13274372530688852
Non_temporal,SMOTE,8,lsqr,0.05,0.14503097568905104,0.16412146238380326,0.41827547592385217,0.05804710488851411,0.6909810079846233,0.06692566068917927,0.5633064516129032,0.13148948717191258
Non_temporal,SMOTE,8,lsqr,0.06,0.13659872484918542,0.16078888812706496,0.42670772676371777,0.05827901452770168,0.6953768319652347,0.06492227456939152,0.5633064516129032,0.13148948717191258
Non_temporal,SMOTE,8,lsqr,0.07,0.12397764422208576,0.14890489001561721,0.4362038073908175,0.0497167167454518,0.7019789834921414,0.058284232365991964,0.5601814516129032,0.12624739368684457
Non_temporal,SMOTE,8,lsqr,0.08,0.12397764422208576,0.1518886607646999,0.4362038073908175,0.04743569621864996,0.702348670284991,0.05883671364710838,0.5601814516129032,0.1303034425448839
Non_temporal,SMOTE,8,lsqr,0.09,0.1187144863273489,0.14953916403474687,0.4414669652855543,0.0460256455206811,0.705245427735347,0.05717410730997143,0.5601814516129032,0.1325327304443995
Non_temporal,SMOTE,8,lsqr,0.1,0.11650841671784126,0.1517665843858965,0.443572228443449,0.04552245767728622,0.7064978228565745,0.05735695468207745,0.5600806451612904,0.13589980915936764
Non_temporal,SMOTE,8,lsqr,0.11,0.11018142903587039,0.14768125276699776,0.44989921612541994,0.0439651183980381,0.7091894455597972,0.05500831687517353,0.5600806451612904,0.13077297362051746
Non_temporal,SMOTE,8,lsqr,0.12,0.09544246468952065,0.14617365728792775,0.4551623740201568,0.044102980069988446,0.7148295510446105,0.054410769664845496,0.5506048387096774,0.1268149969220077
Non_temporal,SMOTE,8,lsqr,0.13,0.09010019687172634,0.14168476484466652,0.45727883538633823,0.041429292193567356,0.7172044569298122,0.05215977678257041,0.5473790322580646,0.12559367345393846
Non_temporal,SMOTE,8,lsqr,0.14,0.08268556063287938,0.1522642522972443,0.45834266517357225,0.040177479705869434,0.7203167498210602,0.056609542766985745,0.5410282258064516,0.13277939424877178
Non_temporal,SMOTE,8,lsqr,0.15,0.07745529747498464,0.1490590048182989,0.46044792833146697,0.0409193563363864,0.7223350877671856,0.05504829654641859,0.5379032258064516,0.1302294511144274
Non_temporal,SMOTE,8,lsqr,0.16,0.06998537008272224,0.14993702869980055,0.4646920492721165,0.03995592431024744,0.7255223753628741,0.05490622280755279,0.5346774193548388,0.1310764548106303
Non_temporal,SMOTE,8,lsqr,0.17,0.06147258696673049,0.13795651382751306,0.4636282194848825,0.0356020541624841,0.7284767147314406,0.051060666512164905,0.525100806451613,0.12061056981292449
Non_temporal,SMOTE,8,lsqr,0.18,0.05623112560054908,0.13836753848570554,0.4657446808510638,0.0350212376379606,0.7308121775472356,0.05107002640123676,0.521975806451613,0.12321649733668343
