,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
0,345,11149,M1.3,2011.01.26_13:03_TAI,2.21e+22,77.458,0.00318894,7058.576,21.203,1125.812,35.493,0.0074759,36.119,83.284,-0.45213342,20900000000000.0,7190000000000.0,2.92e+23,28.83,564.053101,4.19,99.387
1,362,11153,M1.9,2011.02.07_13:31_TAI,6.97e+21,113.469,-0.0024686,3649.218,10.467,464.259,53.387,-0.00630027,32.995,120.948,-0.01695496,9380000000000.0,2100000000000.0,4.74e+22,27.293,199.34108,3.947,24.15
2,377,11158,M6.6,2011.02.12_05:38_TAI,4.94e+21,125.39,0.00894444,5757.768,29.832,451.349,77.005,0.02089216,49.604,125.23,0.11362994,8690000000000.0,3390000000000.0,5.9e+22,37.851,232.700699,3.404,69.051
3,377,11158,M2.2,2011.02.13_05:26_TAI,1.24e+22,113.095,0.02661065,9642.839,49.796,1762.007,83.895,0.0712622,59.524,119.216,0.19456717,33400000000000.0,23200000000000.0,2.95e+23,48.628,566.928284,4.67,613.296
4,384,11161,M1.1,2011.02.14_19:44_TAI,7.54e+21,107.58,-0.00576649,2458.055,3.694,454.132,45.728,-0.01486862,27.968,111.556,-0.40926298,8510000000000.0,2390000000000.0,3.46e+22,22.292,134.166183,3.304,61.044
5,377,11158,M1.6,2011.02.15_02:25_TAI,2.66e+22,97.297,0.02194077,16238.07,57.186,3283.517,69.804,0.04187625,58.744,106.576,0.30270305,56700000000000.0,21000000000000.0,8.68e+23,51.335,1103.282959,4.827,883.006
6,377,11158,M6.6,2011.02.16_22:11_TAI,2.9e+22,102.032,0.01916542,11038.04,44.948,2689.073,64.041,0.03776712,51.293,110.907,0.09079613,51100000000000.0,33900000000000.0,6.25e+23,44.563,1103.807495,4.734,816.715
7,384,11162,M1.0,2011.02.16_22:26_TAI,1.63e+22,106.066,-0.00916894,9388.007,36.678,1334.502,59.717,-0.01935891,47.584,111.96,0.1794825,25200000000000.0,3060000000000.0,3.03e+23,40.328,666.678284,4.515,222.97
8,377,11158,M1.4,2011.02.17_01:03_TAI,3.05e+22,97.213,0.01944768,10424.24,42.608,2804.966,60.639,0.04021775,49.929,105.116,0.07112432,51200000000000.0,31800000000000.0,6.35e+23,43.33,1077.725952,4.763,891.462
9,384,11162,M1.0,2011.02.17_02:08_TAI,1.56e+22,110.369,-0.00971281,10119.81,37.464,1289.319,62.871,-0.01883836,47.991,114.859,0.22842224,23900000000000.0,4980000000000.0,2.97e+23,40.266,660.72052,4.302,215.003
10,384,11162,M1.3,2011.02.17_09:04_TAI,1.48e+22,112.1,-0.00833069,9746.339,39.346,1277.497,66.592,-0.01739298,49.653,112.798,0.39944884,24400000000000.0,4540000000000.0,2.86e+23,41.178,714.485535,4.243,184.1
11,393,11164,M1.1,2011.02.27_00:52_TAI,2.59e+22,73.437,0.01191612,5606.212,13.211,1594.441,38.866,0.03021261,33.596,81.992,-0.07969034,26300000000000.0,20700000000000.0,2.73e+23,26.174,533.046143,4.201,437.655
12,393,11164,M1.2,2011.03.05_17:13_TAI,4.58e+22,98.528,0.00925539,12719.76,40.625,3760.988,58.912,0.01775734,47.906,107.998,0.05373006,72300000000000.0,36300000000000.0,1.09e+24,41.72,1946.186035,5.016,598.694
13,394,11165,M1.5,2011.03.05_19:54_TAI,1.84e+22,116.247,-0.00195591,4252.081,19.916,1344.927,57.612,-0.00478283,38.013,120.858,-0.25818267,26600000000000.0,3590000000000.0,1.52e+23,31.28,580.589905,4.29,52.542
14,393,11164,M1.4,2011.03.05_20:07_TAI,4.9e+22,96.481,0.00928932,11965.96,39.268,3761.582,55.25,0.01894681,46.967,105.997,0.05553023,73200000000000.0,38500000000000.0,1.14e+24,40.626,1895.631958,4.999,664.288
15,393,11164,M1.8,2011.03.05_21:20_TAI,4.85e+22,100.741,0.00982022,12635.95,40.581,3958.624,58.569,0.01891957,47.711,110.174,0.06632242,76500000000000.0,45000000000000.0,1.15e+24,41.709,1910.762573,4.966,672.665
16,394,11165,M1.5,2011.03.06_09:50_TAI,3.01e+22,101.034,-0.00577092,5908.062,20.786,2128.35,53.764,-0.01177267,37.757,109.2,-0.32756907,37300000000000.0,6690000000000.0,3.09e+23,31.063,939.71759,4.463,227.513
17,394,11165,M1.3,2011.03.06_14:29_TAI,3.33e+22,94.55,-0.00411763,6016.339,22.514,2231.296,51.243,-0.00875743,39.246,102.943,-0.17882249,39100000000000.0,4180000000000.0,3.6e+23,32.244,1036.254395,4.521,185.75
18,394,11165,M5.3,2011.03.06_22:44_TAI,4.3e+22,84.727,0.0038592,6512.072,25.066,2986.294,49.05,0.00884312,40.652,99.425,-0.04363017,55200000000000.0,10200000000000.0,5.28e+23,33.987,1297.301147,4.593,235.813
19,401,11166,M1.7,2011.03.07_23:07_TAI,2.74e+22,101.307,-0.00232182,12491.98,53.787,2522.306,69.374,-0.00471677,58.015,106.731,0.25179377,51500000000000.0,5660000000000.0,7.2e+23,49.357,1167.565918,4.604,100.725
20,401,11166,M1.7,2011.03.08_02:02_TAI,2.84e+22,104.974,-0.00043542,13945.33,53.091,2766.465,71.808,-0.00082804,57.433,112.474,0.35352379,54200000000000.0,7860000000000.0,7.94e+23,48.849,1200.348022,4.708,18.677
21,401,11166,X1.5,2011.03.08_11:23_TAI,2.97e+22,92.902,0.00194848,12870.74,57.026,2938.744,67.211,0.0045628,59.529,98.882,0.27970451,60600000000000.0,7490000000000.0,8.83e+23,51.416,1339.980713,4.823,100.641
22,401,11166,M1.3,2011.03.10_16:43_TAI,3.53e+22,99.174,0.00142304,14635.9,51.32,3535.36,69.134,0.00278739,55.031,107.392,0.1297126,65500000000000.0,8090000000000.0,1.02e+24,47.59,1607.284668,4.951,74.368
23,407,11169,M1.0,2011.03.13_12:22_TAI,2.08e+22,105.071,-0.01813206,8549.078,31.112,1652.094,57.11,-0.04369046,44.735,109.48,0.0443445,32700000000000.0,25800000000000.0,3.64e+23,37.733,953.348022,4.594,581.912
24,437,11176,M1.0,2011.03.24_11:22_TAI,4.47e+22,83.008,0.00573036,6606.702,24.514,2592.496,41.164,0.01437771,39.001,89.193,0.03440487,52600000000000.0,8430000000000.0,5.94e+23,32.782,1173.730469,4.533,387.711
25,495,11190,M1.3,2011.04.14_05:12_TAI,2.26e+22,112.914,-0.00472566,6813.734,37.562,2167.964,69.839,-0.01409855,51.795,116.274,-0.0295407,46400000000000.0,7590000000000.0,3.66e+23,41.509,1443.453247,4.55,191.011
