,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,8,11069,M1.2,2010.05.03_17:19_TAI,5.703601e+20,111.973,-0.0090231,2053.44,10.858,32.987,42.445,-0.03374315,33.075,115.249,0.16744697,799825700000.0,503389400000.0,2.637067e+21,28.002,18.187183,2.676,8.725
1,49,11079,M1.0,2010.06.11_05:39_TAI,1.747521e+21,99.24,0.00217288,927.3992,0.908,67.701,27.765,0.00882222,22.039,99.881,-0.68525857,1556423000000.0,1064315000000.0,3.526149e+21,18.202,34.222691,0.0,6.221
2,115,11093,M1.0,2010.08.05_18:24_TAI,1.536641e+22,75.695,-0.00610989,6143.387,20.968,789.82,35.799,-0.01612337,37.296,76.981,0.02495207,15105860000000.0,4070014000000.0,1.954822e+23,30.621,310.948914,3.901,146.387
3,211,11112,M2.9,2010.10.14_19:12_TAI,8.703252e+21,134.224,0.00198009,2502.22,10.053,720.471,60.638,0.00703251,34.995,134.918,0.85929763,15445760000000.0,6490399000000.0,4.799496e+22,26.481,676.718567,3.51,28.598
4,345,11149,M1.3,2011.01.26_01:03_TAI,2.501429e+22,78.753,0.00246141,6637.176,18.571,1314.801,36.842,0.00596679,35.836,84.255,-0.23746619,25216140000000.0,7930242000000.0,3.232793e+23,29.159,632.525085,4.091,90.275
5,362,11153,M1.9,2011.02.07_01:31_TAI,4.399364e+21,111.276,0.00085064,1808.53,6.877,265.128,47.037,0.00286652,31.047,113.482,-0.13559318,5910401000000.0,1098139000000.0,1.704323e+22,24.906,140.881348,2.722,6.036
6,377,11158,M6.6,2011.02.11_17:38_TAI,3.659568e+21,136.977,0.00262154,4725.728,19.747,372.968,79.286,0.00675377,42.902,133.735,0.22797897,7168983000000.0,788562900000.0,3.569147e+22,33.403,167.063553,3.56,14.909
7,377,11158,M2.2,2011.02.12_17:26_TAI,5.380702e+21,119.082,-0.00030998,5043.654,34.527,488.687,77.349,-0.00091248,53.933,117.25,0.22749272,10971680000000.0,1142786000000.0,6.566911e+22,40.993,301.046051,3.578,3.039
8,384,11161,M1.1,2011.02.14_07:44_TAI,4.764551e+21,91.666,-0.01100251,2370.706,4.253,278.829,43.633,-0.03081387,28.775,98.973,-0.13168563,5111065000000.0,3540411000000.0,2.20577e+22,21.636,74.038857,3.242,77.084
9,377,11158,M1.6,2011.02.14_14:25_TAI,2.420753e+22,92.935,0.01255869,15435.08,59.343,2965.819,68.346,0.02753407,60.493,101.412,0.06621949,52254720000000.0,7276297000000.0,8.238741e+23,52.267,1082.629272,4.863,504.746
10,377,11158,M6.6,2011.02.16_10:11_TAI,2.710976e+22,96.399,0.02093008,13613.11,52.482,2804.664,66.654,0.04133997,55.197,108.972,0.10473154,51886080000000.0,32250030000000.0,7.385191e+23,48.207,1110.17688,4.939,854.994
11,384,11162,M1.0,2011.02.16_10:26_TAI,1.647604e+22,102.85,-0.01111449,9036.449,33.837,1505.862,59.444,-0.02487753,46.3,110.236,0.01235384,28923860000000.0,5757543000000.0,3.023123e+23,39.609,641.454895,4.61,279.974
12,377,11158,M1.4,2011.02.16_13:03_TAI,2.720506e+22,92.648,0.01986698,12273.69,51.778,2615.921,64.034,0.04357431,54.984,101.927,0.11497073,51633870000000.0,28677540000000.0,7.091969e+23,48.183,1112.259766,4.896,864.353
13,384,11162,M1.0,2011.02.16_14:08_TAI,1.509309e+22,103.062,-0.00808441,9860.066,36.353,1371.067,59.374,-0.01684571,46.71,110.733,-0.08864068,26004180000000.0,2597882000000.0,2.866146e+23,40.136,636.904236,4.507,176.952
14,384,11162,M1.3,2011.02.16_21:04_TAI,1.63653e+22,106.903,-0.00954703,9582.729,37.437,1456.726,61.191,-0.01963683,47.915,113.004,0.23200704,27639950000000.0,3489048000000.0,3.079507e+23,40.7,670.584229,4.471,231.019
15,393,11164,M1.1,2011.02.26_12:52_TAI,2.42455e+22,66.903,0.01011061,5981.403,17.899,1466.876,39.208,0.02508228,35.386,77.611,-0.19926482,24112410000000.0,17025520000000.0,2.707247e+23,28.17,568.084351,4.105,344.58
16,393,11164,M1.2,2011.03.05_05:13_TAI,4.377205e+22,103.513,0.00646519,12261.04,39.115,3646.506,60.727,0.01250015,47.704,111.644,0.11856525,70493900000000.0,31807010000000.0,1.012001e+24,41.035,1846.785278,4.882,401.805
17,394,11165,M1.5,2011.03.05_07:54_TAI,1.219294e+22,116.044,-0.00195435,3007.12,18.579,882.882,54.321,-0.00640655,38.183,119.971,0.15438519,20253470000000.0,1638521000000.0,8.187653e+22,31.475,418.106689,4.011,40.068
18,393,11164,M1.4,2011.03.05_08:07_TAI,4.529095e+22,99.7,0.00714436,12002.91,38.151,3675.843,58.148,0.01423601,47.188,107.809,0.16427773,71784890000000.0,31392450000000.0,1.043315e+24,41.025,1912.398682,5.029,467.598
19,393,11164,M1.8,2011.03.05_09:20_TAI,4.330671e+22,101.747,0.00636607,12846.35,39.355,3580.602,61.011,0.01199454,47.777,110.02,0.09345435,68305820000000.0,29912350000000.0,1.031906e+24,41.221,1921.581665,5.01,385.039
20,394,11165,M1.5,2011.03.05_21:50_TAI,2.027581e+22,113.284,0.00061388,4114.647,19.094,1494.987,56.474,0.00155296,37.493,118.966,-0.05690599,30168820000000.0,1966468000000.0,1.639275e+23,30.812,632.922241,4.36,18.415
