,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,USFLUX_diff,MEANGBT_diff,MEANJZH_diff,MEANPOT_diff,SHRGT45_diff,TOTUSJH_diff,MEANGBH_diff,MEANALP_diff,MEANGAM_diff,MEANGBZ_diff,MEANJZD_diff,TOTUSJZ_diff,SAVNCPP_diff,TOTPOT_diff,MEANSHR_diff,AREA_ACR_diff,R_VALUE_diff,ABSNJZH_diff
0,377,11158,X2.2,2011-02-14 13:56:00,2.416427e+22,93.429,0.0139435,15371.74,59.408,2940.413,68.471,0.03022219,60.629,101.466,0.05428162,51564980000000.0,9554389000000.0,8.171862e+23,52.303,1078.161865,4.829,558.116,1.7032600000000028e+21,14.307000000000002,0.007780560000000001,161.36000000000058,4.526000000000003,34.70499999999993,9.512,0.011191200000000002,1.088000000000001,16.116,0.05059846999999999,1235760000000.0,2707091000000.0,1.0945869999999997e+23,1.9739999999999966,132.84722900000008,0.02400000000000002,187.17100000000005
1,401,11166,M2.0,2011-03-07 02:30:00,2.316485e+22,96.645,-0.00533317,11578.92,48.318,1829.461,61.27,-0.01061526,53.676,101.45,0.1734377,37233650000000.0,9006182000000.0,5.367295e+23,45.522,946.170837,4.352,186.149,8.087000000000017e+20,2.7819999999999965,0.00339058,664.8600000000006,4.140000000000001,192.75099999999998,4.631,0.00667336,2.996000000000002,2.287000000000006,0.043071090000000006,3785110000000.0,5122029000000.0,6.335840000000004e+22,2.0429999999999993,15.331849000000034,0.04900000000000038,122.708
2,393,11164,M3.7,2011-03-07 08:12:00,6.534931e+22,85.268,0.00282031,8713.998,24.84,4221.041,45.785,0.00602177,39.556,94.534,0.01900536,76527690000000.0,18570440000000.0,1.046693e+24,33.991,1927.615967,4.976,255.077,4.956290000000003e+21,5.965000000000003,0.0047149800000000006,1198.3549999999996,4.204000000000001,8.106999999999971,3.7750000000000057,0.00900581,1.5940000000000012,5.475999999999999,0.15013591,215640000000.0,15736030000000.0,2.7729000000000023e+22,1.881999999999998,6.830200000000104,0.11099999999999977,359.93100000000004
3,637,11226,M2.5,2011-06-06 18:41:00,2.467217e+22,106.978,0.00883266,3060.831,9.296,1419.924,43.043,0.02821628,31.113,107.913,0.03075903,28870750000000.0,19611660000000.0,1.577271e+23,25.68,835.5047,3.859,342.725,8.227699999999976e+20,2.7280000000000086,0.0007870199999999994,643.0789999999997,4.204000000000001,85.40699999999993,4.5589999999999975,0.0026907000000000007,3.2079999999999984,3.0259999999999962,0.026177739999999998,2492490000000.0,82200000000.0,3.0206600000000026e+22,2.844999999999999,135.04693600000007,0.1120000000000001,24.80499999999995
4,750,11261,M6.0,2011-08-03 01:48:00,2.197264e+22,108.482,0.03107668,12412.3,43.839,2749.692,69.981,0.06843232,52.421,118.732,0.11320896,46264420000000.0,39793480000000.0,5.587943e+23,43.969,1273.788696,4.742,1053.375,2.072810000000001e+21,1.409000000000006,0.0017721000000000021,349.6899999999987,0.2510000000000048,202.63799999999992,3.700000000000003,0.011432819999999996,0.8490000000000038,2.8659999999999997,0.20880388000000003,3251950000000.0,4813230000000.0,3.184279999999999e+22,0.03999999999999915,14.688842000000022,0.03500000000000014,27.15300000000002
5,750,11261,M9.3,2011-08-03 15:57:00,2.283505e+22,110.12,0.03297869,9905.426,36.273,2703.347,67.229,0.08787693,48.156,117.633,0.02316026,47244360000000.0,50423220000000.0,4.888735e+23,40.213,1261.0896,4.861,1225.521,4.294699999999998e+20,0.6460000000000008,0.0013032899999999986,2114.5640000000003,7.1669999999999945,158.8439999999996,3.222999999999999,0.00865146,3.710000000000001,0.7190000000000083,0.05777765,489090000000.0,4047610000000.0,7.226080000000002e+22,3.228999999999999,24.39733799999999,0.13099999999999934,20.50999999999999
6,833,11283,X1.8,2011-09-07 10:38:00,1.632159e+22,104.886,0.01167684,8778.207,35.67,1492.765,60.17,0.03394029,47.658,108.083,0.33540449,30222910000000.0,16567810000000.0,3.266647e+23,39.452,1167.043823,4.383,327.185,5.754399999999995e+20,9.055000000000007,0.0029064299999999998,1521.9629999999997,1.411999999999999,137.55299999999988,9.757999999999996,0.0018241100000000038,2.201999999999998,10.230999999999995,0.08830711999999999,1086440000000.0,2340910000000.0,1.1824200000000036e+22,0.3090000000000046,45.38452200000006,0.04699999999999971,33.634000000000015
7,1449,11429,X1.1,2012-03-04 16:09:00,4.101543e+22,75.157,-0.01887275,12523.12,38.655,2793.505,50.09,-0.03194191,47.913,89.461,0.0560889,48522250000000.0,42028440000000.0,8.683681e+23,42.604,1293.034424,4.669,985.384,3.114920000000004e+21,13.497,0.0018645699999999994,2111.879999999999,3.6340000000000003,417.68600000000015,7.339000000000006,0.00028680999999999846,1.426000000000002,10.057999999999993,0.014119850000000003,12857820000000.0,6507410000000.0,1.975640000000001e+22,1.2650000000000006,140.35705600000006,0.23299999999999965,37.79200000000003
8,1449,11429,X5.4,2012-03-06 12:24:00,5.142906e+22,86.128,-0.02868787,16168.71,48.559,4822.117,58.945,-0.04929499,52.815,103.405,-0.02384534,80922120000000.0,71634430000000.0,1.475973e+24,47.182,1902.607544,5.199,1971.861,1.8987599999999966e+21,3.021000000000001,0.003417929999999996,2038.2700000000004,2.899000000000001,297.22800000000007,0.9590000000000032,0.0009558399999999995,1.6379999999999981,3.331000000000003,0.023498039999999998,3121880000000.0,5087020000000.0,1.2871099999999989e+23,1.4480000000000004,182.1263429999999,0.04699999999999971,158.74399999999991
9,1449,11430,X1.3,2012-03-06 13:14:00,5.154811e+22,86.162,-0.02877818,15946.13,49.261,4822.241,59.068,-0.05006887,52.974,103.237,0.02282101,80891810000000.0,73744600000000.0,1.470754e+24,47.503,1893.843384,5.171,1998.616,2.1812500000000033e+21,3.3739999999999952,0.004230999999999999,2243.5700000000015,2.875,405.33899999999994,1.3719999999999999,0.0007272499999999987,1.7309999999999945,4.666000000000011,0.059261140000000004,1427070000000.0,6288420000000.0,1.3861499999999994e+23,1.485999999999997,157.66455100000007,0.018000000000000682,200.32400000000007
