,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,USFLUX_diff,MEANGBT_diff,MEANJZH_diff,MEANPOT_diff,SHRGT45_diff,TOTUSJH_diff,MEANGBH_diff,MEANALP_diff,MEANGAM_diff,MEANGBZ_diff,MEANJZD_diff,TOTUSJZ_diff,SAVNCPP_diff,TOTPOT_diff,MEANSHR_diff,AREA_ACR_diff,R_VALUE_diff,ABSNJZH_diff
0,377,11158,X2.2,2011-02-13 13:56:00,1.74e+22,110.305,0.0269153,13063.93,52.876,2575.372,83.372,0.06064697,59.751,119.75,0.09912507,44800000000000.0,26300000000000.0,5.1e+23,49.919,776.300354,4.728,790.906,6.590219999999999e+21,9.72099999999999,0.0014407300000000012,3863.4590000000007,4.994999999999997,1063.4519999999998,4.997,0.006559630000000004,0.3269999999999982,4.997,0.10445778000000001,14983400000000.0,4818110000000.0,2.759399e+23,2.1729999999999947,306.26904299999995,0.36299999999999955,247.74599999999998
1,401,11166,M2.0,2011-03-06 02:30:00,2.76e+22,91.339,-0.00436145,10385.64,42.248,1804.829,52.444,-0.00871083,48.924,96.108,0.11228573,35800000000000.0,6300000000000.0,5.49e+23,41.769,967.674744,4.254,173.529,3.758499999999989e+20,8.289000000000001,0.0025952300000000005,475.9899999999998,0.8529999999999944,31.938000000000102,1.108000000000004,0.0052085,0.705999999999996,6.182000000000002,0.010441629999999993,774620000000.0,3862815000000.0,3.207500000000043e+21,0.3819999999999979,70.87762399999986,0.15200000000000014,105.91799999999999
2,393,11164,M3.7,2011-03-06 08:12:00,5.71e+22,93.323,0.00775337,10983.51,34.062,4354.476,53.287,0.01605595,44.227,103.374,0.05254352,82900000000000.0,39300000000000.0,1.19e+24,38.558,2116.946533,5.082,631.9,8.059299999999997e+21,3.1580000000000013,0.0015359500000000003,982.4499999999989,5.206000000000003,592.8939999999998,1.963000000000001,0.002890860000000002,2.740000000000002,2.6230000000000047,0.0029867099999999966,9711690000000.0,773010000000.0,5.354799999999998e+22,2.067999999999998,221.31457499999988,0.08300000000000018,32.388000000000034
3,637,11226,M2.5,2011-06-05 18:41:00,2.32e+22,114.006,0.00886903,4568.461,18.244,1608.422,52.416,0.02731529,37.849,115.458,0.12027697,33500000000000.0,18800000000000.0,2.25e+23,30.918,1095.482422,4.303,329.059,2.035680000000001e+21,2.3659999999999997,0.0007923700000000006,692.4969999999994,4.904,14.538000000000011,4.740000000000002,0.0031557600000000005,3.0660000000000025,2.0520000000000067,0.19112264,535760000000.0,2478180000000.0,1.5834600000000027e+22,2.5159999999999982,73.42382799999996,0.24399999999999977,50.66500000000002
4,750,11261,M6.0,2011-08-02 01:48:00,2.06e+22,111.825,0.03330122,14011.66,46.641,2840.259,78.565,0.07212018,55.638,120.666,0.07327458,45600000000000.0,42300000000000.0,5.93e+23,45.41,1273.533447,4.784,1061.609,9.856999999999993e+20,1.4240000000000066,0.01591751,969.6800000000003,1.3829999999999956,19.684000000000196,0.8900000000000006,0.03041138000000001,0.6379999999999981,3.7109999999999985,0.29865378,5319460000000.0,13144520000000.0,1.8026499999999948e+22,0.36299999999999955,76.59338400000001,0.0470000000000006,448.3639999999999
5,750,11261,M9.3,2011-08-02 15:57:00,1.96e+22,106.54,0.03188976,11877.49,45.542,2484.24,71.944,0.07886149,53.843,112.535,0.26985049,41600000000000.0,39600000000000.0,5.16e+23,44.659,1256.206299,4.739,1044.103,7.737899999999998e+20,5.201999999999998,0.002130679999999996,1638.3400000000001,0.9149999999999991,299.3630000000003,6.265000000000001,0.0013684100000000005,1.3909999999999982,6.984000000000009,0.18240295,3400120000000.0,5648680000000.0,6.6644899999999955e+22,0.4519999999999982,22.093994000000066,0.02800000000000047,60.200000000000045
6,833,11283,X1.8,2011-09-06 10:38:00,1.61e+22,109.015,0.0083264,9216.73,39.491,1661.601,68.339,0.02405243,51.496,110.552,0.3638669,34100000000000.0,13200000000000.0,3.49e+23,41.612,1297.287842,4.352,237.386,1.5903700000000002e+21,0.7390000000000043,0.0023907499999999996,796.5159999999996,3.581000000000003,54.406999999999925,1.2849999999999966,0.00651964,3.1899999999999977,0.43600000000000705,0.08020991,2249590000000.0,3721043000000.0,1.2784800000000033e+22,2.3840000000000003,84.93859799999996,0.058999999999999275,45.349999999999994
7,1321,11402,M8.7,2012-01-21 15:59:00,5.84e+22,106.148,-0.01024404,8590.774,34.821,4605.517,59.165,-0.02584729,46.778,109.184,0.18862098,98000000000000.0,25000000000000.0,1.07e+24,38.945,3315.342773,4.793,957.306,3.49564e+21,1.0009999999999906,0.0019557700000000008,1169.9620000000014,2.5330000000000013,294.84200000000055,0.15700000000000358,0.00215456,1.1129999999999995,0.2400000000000091,0.027634169999999986,2470100000000.0,8106940000000.0,1.6438500000000007e+23,1.3950000000000031,103.84765599999992,0.01699999999999946,204.39699999999993
8,1321,11402,X1.8,2012-01-26 06:37:00,5.8e+22,71.71,-0.00731494,3844.322,10.757,2507.335,31.964,-0.0204142,29.869,76.673,0.0099841,48200000000000.0,26300000000000.0,4.33e+23,22.601,1212.75708,4.643,620.204,1.6531570000000002e+22,4.118000000000009,0.0008636099999999999,249.2470000000003,0.09500000000000064,791.2060000000001,0.047999999999998266,0.0009703400000000001,0.13700000000000045,2.6380000000000052,0.00011100999999999993,19502720000000.0,2755090000000.0,1.0884880000000002e+23,1.184000000000001,487.67175299999985,0.09999999999999964,111.93200000000002
9,1449,11429,X5.4,2012-03-05 12:24:00,4.77e+22,84.271,-0.0265606,16026.35,41.305,4224.59,58.89,-0.03984113,49.304,101.535,0.03793158,64300000000000.0,52800000000000.0,1.23e+24,43.868,1552.376343,4.95,1538.018,3.6745999999999934e+20,0.8670000000000044,0.002127839999999999,1716.9700000000012,2.033999999999999,308.3430000000003,1.9239999999999995,0.001806550000000004,1.0300000000000011,0.07299999999999329,0.03802602,3198650000000.0,2043180000000.0,1.2010199999999992e+23,1.071000000000005,130.34851099999992,0.04499999999999993,111.04700000000003
10,1449,11430,X1.3,2012-03-05 13:14:00,4.81e+22,84.603,-0.02767894,15974.75,40.728,4221.199,58.667,-0.04135624,49.068,102.315,0.03858977,63600000000000.0,55800000000000.0,1.24e+24,43.647,1559.189941,4.996,1611.412,1.335000000000059e+19,0.7459999999999951,0.00322389,1815.5699999999997,1.8629999999999995,139.29999999999973,1.4920000000000044,0.0035747,0.9819999999999993,0.38299999999999557,0.07317111000000001,933120000000.0,5639190000000.0,1.2817499999999991e+23,1.2269999999999968,118.76220699999999,0.1070000000000002,165.53199999999993
11,1449,11429,M6.3,2012-03-07 15:53:00,5.65e+22,90.408,-0.02921071,16107.17,52.89,5870.174,63.439,-0.05620049,55.409,102.833,-0.02573578,101000000000000.0,89900000000000.0,1.76e+24,48.885,2318.640869,5.284,2402.785,2.4201999999999934e+20,4.2549999999999955,0.005156719999999997,1822.1400000000012,3.5260000000000034,97.05299999999988,1.235999999999997,0.0009399600000000036,2.25,8.600999999999999,0.011980820000000003,10171730000000.0,2463940000000.0,1.3169999999999085e+21,1.9619999999999962,200.71899399999984,0.07599999999999962,139.3050000000003
12,1449,11429,M8.4,2012-03-09 05:44:00,5.02e+22,97.247,-0.02623654,13906.97,48.328,4497.273,62.425,-0.05331531,52.542,104.717,-0.04317858,82900000000000.0,87100000000000.0,1.37e+24,45.581,2350.527832,4.997,1942.396,4.4227999999999554e+20,0.14300000000000068,0.0028408500000000024,1351.0,2.549999999999997,257.46100000000024,2.406000000000006,0.0026358100000000023,1.1370000000000005,1.8359999999999985,0.07681717,2510850000000.0,894170000000.0,9.114400000000008e+22,1.5629999999999953,32.66455099999985,0.10000000000000053,154.25900000000024
13,1449,11429,M7.9,2012-03-12 05:41:00,5.48e+22,94.399,-0.01513538,9579.588,29.963,3544.214,48.169,-0.03194812,41.794,98.917,-0.19338351,68000000000000.0,50600000000000.0,9.84e+23,36.071,1891.246704,4.631,1170.57,4.287100000000048e+20,1.6569999999999965,0.0026803799999999996,428.1920000000009,2.5660000000000025,257.067,1.9879999999999995,0.007146489999999998,1.7540000000000049,2.1310000000000002,0.07129535000000001,6717300000000.0,18648490000000.0,8.469799999999995e+22,1.8790000000000049,205.31774900000005,0.16599999999999948,261.9060000000002
