datatype,sampling,time_step,lr,gamma,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,0.001,0.001,2,20,0.03982322025800289,0.09094469599281305,0.6405797101449275,0.08945688775784724,0.8336403451145271,0.020904278270875695,0.6804029304029305,0.1515533182434686
Non_temporal,SMOTE,8,0.001,0.001,2,30,0.03982322025800289,0.09094469599281305,0.6405797101449275,0.08945688775784724,0.8336403451145271,0.020904278270875695,0.6804029304029305,0.1515533182434686
Non_temporal,SMOTE,8,0.001,0.001,2,50,0.03982322025800289,0.09094469599281305,0.6405797101449275,0.08945688775784724,0.8336403451145271,0.020904278270875695,0.6804029304029305,0.1515533182434686
Non_temporal,SMOTE,8,0.001,0.001,2,100,0.0760551043159739,0.06660314044927784,0.6043478260869566,0.14151791221048593,0.822529234003416,0.01789845088071253,0.6804029304029305,0.1515533182434686
Non_temporal,SMOTE,8,0.001,0.001,6,20,0.10333917290439032,0.08290701051074363,0.4387853692201518,0.09047655896650601,0.8095705419580407,0.03252557467912724,0.5421245421245421,0.13028145966138271
Non_temporal,SMOTE,8,0.001,0.001,6,30,0.10810107766629506,0.08065434436913768,0.434023464458247,0.08861401889869347,0.8081112965963565,0.031797362949994135,0.5421245421245421,0.13028145966138271
Non_temporal,SMOTE,8,0.001,0.001,6,50,0.1010272336359293,0.07456950404028675,0.4291925465838509,0.08438980285355921,0.8094594597240948,0.03084471878879557,0.5302197802197802,0.11654527010522085
Non_temporal,SMOTE,8,0.001,0.001,6,100,0.12476774433296174,0.08251726079172599,0.4292615596963423,0.08810236753977693,0.8047639515724622,0.02707422825419468,0.5540293040293041,0.14758370858327416
Non_temporal,SMOTE,8,0.001,0.001,10,20,0.008769973987365296,0.1508831976243706,0.292512077294686,0.05650017368528281,0.8419029235720985,0.06864403068969113,0.3012820512820513,0.16380682486129022
Non_temporal,SMOTE,8,0.001,0.001,10,30,0.015912831130222436,0.1500626200372456,0.28536922015182886,0.06287007428722353,0.8379346696038446,0.06833583462118463,0.3012820512820513,0.16380682486129022
Non_temporal,SMOTE,8,0.001,0.001,10,50,0.008700960874873926,0.14587042114822893,0.29258109040717734,0.06832166557348829,0.8412871600253005,0.06546506815003938,0.3012820512820513,0.16380682486129022
Non_temporal,SMOTE,8,0.001,0.001,10,100,0.001489090619525411,0.1455264046051367,0.29979296066252586,0.05958645846429849,0.8458451235615921,0.06482301327574623,0.3012820512820513,0.16380682486129022
Non_temporal,SMOTE,8,0.01,0.001,2,20,0.08418272548707334,0.056443742408509016,0.6090407177363699,0.13346104644554962,0.8209911785112499,0.016181027295007717,0.6932234432234433,0.1419532075904544
Non_temporal,SMOTE,8,0.01,0.001,2,30,0.07392896958114349,0.08469687235616992,0.5680124223602484,0.12690997718814712,0.8253508771929824,0.020070091092940175,0.641941391941392,0.18273992512458678
Non_temporal,SMOTE,8,0.01,0.001,2,50,0.07159579550883897,0.1168540773176036,0.5199792960662526,0.09774243212607338,0.8241226035868894,0.030805432926862355,0.5915750915750916,0.1670687096260983
Non_temporal,SMOTE,8,0.01,0.001,2,100,0.09864628125497689,0.12806289053365522,0.467287784679089,0.0750830947651514,0.8151830318690784,0.037138856909309986,0.5659340659340658,0.16134897061712108
