USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
6.307779e+21,89.9,-0.01284152,13039.93,50.626,433.397,56.61,-0.02784847,55.829,89.503,0.44666621,8242312000000.0,2489312000000.0,1.784926e+23,45.336,648.066528,0.0,132.357,115,11099,C4.4,2010.08.10_10:05_TAI
1.754521e+22,101.595,-0.00499752,5096.533,20.308,1172.25,51.241,-0.01231989,38.465,104.173,-0.05670274,22303890000000.0,5003842000000.0,1.766085e+23,31.977,498.065155,4.009,130.4,115,11099,C4.5,2010.08.14_05:48_TAI
1.05374e+21,127.756,0.00554502,2797.47,19.593,77.952,59.782,0.01909512,39.544,127.795,-0.00958189,1784406000000.0,510197500000.0,6.750451e+21,32.424,37.346447,2.363,10.075,377,11158,X2.2,2011.02.11_01:56_TAI
3.754461e+22,95.317,0.00372509,8693.68,37.868,2638.127,51.446,0.00970726,47.803,99.614,-0.06142539,58347470000000.0,20011730000000.0,7.230081e+23,41.153,1616.531982,4.423,233.261,393,11164,M3.7,2011.03.03_20:12_TAI
1.865743e+22,107.3,-0.008275,9160.316,38.309,1938.011,65.783,-0.02130509,49.811,112.977,0.25270039,37547010000000.0,9067546000000.0,3.631223e+23,41.949,1004.547119,4.67,246.984,750,11261,M6.0,2011.07.30_13:48_TAI
1.962703e+22,106.979,-0.00662787,9139.163,39.849,1990.663,65.059,-0.01851182,51.774,110.833,0.22206292,38544370000000.0,6091358000000.0,4.095945e+23,42.899,1056.753662,4.426,223.664,750,11261,M9.3,2011.07.31_03:57_TAI
2.323176e+22,86.762,0.01836734,17188.65,58.241,1862.966,58.75,0.03269038,58.068,93.98,0.11252931,36049210000000.0,26217500000000.0,7.862861e+23,50.947,1016.297974,4.593,632.608,753,11263,X6.9,2011.08.05_08:05_TAI
2.872878e+22,99.197,-0.00168875,5819.799,28.154,1844.624,51.068,-0.00458019,42.595,101.791,0.06280506,41058280000000.0,1780182000000.0,3.538855e+23,36.321,1080.675171,4.193,77.318,833,1283,X2.1,2011.09.02_22:20_TAI
2.381628e+22,104.667,-0.00298695,5553.591,33.636,1787.855,57.206,-0.00963782,46.897,104.858,0.342812,41744230000000.0,7908309000000.0,3.180131e+23,39.373,1215.771851,4.081,128.791,833,11283,X1.8,2011.09.03_22:38_TAI
7.426626e+22,92.08,-0.00735461,9266.781,33.759,4967.382,48.701,-0.01702338,44.724,97.199,0.1140632,101329700000000.0,19000690000000.0,1.392859e+24,38.795,2834.736816,4.821,832.372,1321,11402,M8.7,2012.01.19_03:59_TAI
7.316807e+22,104.163,-0.00993061,5737.252,20.656,5048.722,48.833,-0.02666754,37.508,108.686,0.07616532,104119700000000.0,38929120000000.0,8.444268e+23,31.882,2993.192139,4.795,1100.58,1321,11402,X1.8,2012.01.23_18:37_TAI
4.849731e+22,84.839,-0.02368375,14540.86,39.955,4303.177,58.31,-0.03834182,48.959,103.348,-0.0421803,68115050000000.0,53178860000000.0,1.196291e+24,43.387,1493.461548,4.983,1467.161,1449,11429,M6.3,2012.03.05_03:53_TAI
5.34348e+22,85.838,-0.02788853,15204.86,49.157,5032.66,59.132,-0.05064662,53.371,101.061,0.05471042,85342100000000.0,75480120000000.0,1.509669e+24,47.609,1941.285034,5.2,2084.947,1449,11430,C8.0,2012.03.06_15:52_TAI
5.382205e+22,86.399,-0.02896794,15510.26,50.026,5176.633,59.583,-0.05292043,53.409,101.33,0.07834515,86292180000000.0,81704500000000.0,1.54889e+24,47.771,2014.675415,5.246,2178.215,1449,11429,M8.4,2012.03.06_17:44_TAI
4.879105e+22,101.725,-0.02866862,13498.72,45.753,4352.197,63.036,-0.05557612,51.168,108.832,0.14169805,79617910000000.0,85428400000000.0,1.239824e+24,44.026,2392.260498,4.949,1982.721,1449,11429,M7.9,2012.03.09_17:41_TAI
4.026236e+22,107.042,-0.01753609,13013.22,45.536,3615.961,65.314,-0.0367256,51.748,113.814,0.0966284,72202590000000.0,44919460000000.0,1.054677e+24,44.642,2179.728271,4.699,1070.158,1638,11476,M5.1,2012.05.13_01:47_TAI
1.950703e+22,87.631,0.00139589,6446.597,23.884,1206.612,47.35,0.00304763,41.408,92.042,-0.10294541,22530400000000.0,1533409000000.0,2.35215e+23,34.05,542.215332,4.218,38.349,1750,11504,M1.9,2012.06.10_14:35_TAI
3.500476e+22,97.659,-0.00840721,11631.84,52.149,3398.72,67.212,-0.01988239,57.39,102.452,-0.1764055,72441550000000.0,23072700000000.0,9.328807e+23,48.787,1661.549683,4.832,507.669,1807,11515,X1.1,2012.07.02_23:08_TAI
4.50405e+22,109.059,-0.00927808,13746.89,47.608,5366.968,74.543,-0.01865396,53.819,121.357,-0.13336857,95963520000000.0,19779240000000.0,1.240656e+24,46.034,2077.108154,5.206,630.492,1807,11515,M6.9,2012.07.04_16:32_TAI
1.063301e+23,87.005,0.01112347,10949.68,32.396,7232.881,48.451,0.02332262,44.441,95.698,0.08433261,136952900000000.0,73583420000000.0,2.229514e+24,38.504,4011.365234,5.138,1705.383,1834,11520,X1.4,2012.07.08_16:49_TAI
9.269809e+22,97.142,0.00816646,12714.67,41.972,6953.876,56.292,0.01644994,49.812,102.758,0.11387525,139114500000000.0,58955180000000.0,2.351006e+24,43.242,4364.203613,5.179,1137.0,1834,11520,M1.8,2012.07.13_17:15_TAI
2.763816e+22,106.835,-0.00221868,6440.9,28.373,1922.209,55.804,-0.00608274,44.207,108.808,0.14677969,40416380000000.0,3466341000000.0,3.816707e+23,35.817,1595.520142,3.861,98.993,2040,11577,C3.7,2012.09.23_23:57_TAI
7.196914e+21,102.682,0.00232196,2623.687,4.329,429.444,43.678,0.00588738,28.426,104.008,-0.25677922,8021250000000.0,1313586000000.0,3.468693e+22,22.852,125.113953,3.489,23.115,2220,11618,M3.5,2012.11.17_15:30_TAI
2.186149e+22,81.298,-0.00804205,4607.91,15.204,1251.586,37.742,-0.02124326,34.125,83.802,-0.16282344,23229480000000.0,8097836000000.0,2.017235e+23,27.716,542.46814,4.168,265.098,2635,11719,M6.5,2013.04.07_07:16_TAI
1.89038e+22,109.816,-0.00584095,8085.049,30.38,1261.04,60.438,-0.01450098,45.064,110.798,0.36716992,27533410000000.0,5826132000000.0,3.16568e+23,36.305,1566.882446,3.641,172.203,2739,11745,M5.0,2013.05.18_13:32_TAI
2.7501e+22,106.149,0.01193673,8922.879,32.302,2155.969,55.909,0.02609605,44.341,113.863,-0.2446954,41871940000000.0,20072120000000.0,4.777438e+23,37.218,1173.055664,4.453,481.241,2790,11762,M5.9,2013.06.03_22:49_TAI
3.018743e+22,90.983,0.00308574,4747.961,12.777,2028.629,45.992,0.00683311,32.067,94.483,-0.16499518,34203790000000.0,3448094000000.0,2.525669e+23,26.713,636.013428,4.072,123.593,3291,11875,M4.3,2013.10.18_21:20_TAI
3.438805e+22,100.341,-0.01113038,14577.72,53.875,3615.298,71.634,-0.02326479,58.647,106.126,0.26915592,69666420000000.0,28152280000000.0,1.080745e+24,49.111,2011.205811,4.93,621.331,3291,11875,X1.0,2013.10.24_02:03_TAI
3.551499e+22,98.993,-0.00977227,13549.84,52.793,3709.268,68.585,-0.02114064,57.862,106.398,0.26498184,72391820000000.0,28165580000000.0,1.062988e+24,48.781,2037.731934,5.029,577.248,3291,11875,M5.1,2013.10.24_04:41_TAI
3.969497e+22,100.996,-0.01388438,13643.58,43.456,3567.56,62.784,-0.02558536,50.544,109.454,0.28880593,66696720000000.0,28914670000000.0,1.026331e+24,43.538,1861.372559,4.799,786.453,3291,11875,X2.3,2013.10.25_21:54_TAI
6.805345e+22,73.402,0.00520401,10077.4,29.858,4193.077,42.828,0.01009126,42.041,83.457,-0.19340163,71971100000000.0,16302310000000.0,1.209537e+24,35.746,2217.69873,4.816,470.318,3341,11890,X1.1,2013.11.04_04:26_TAI
5.682302e+22,100.211,0.01213001,12444.54,38.675,5207.577,59.81,0.02404955,47.401,108.234,-0.13494416,91837370000000.0,23548430000000.0,1.321425e+24,41.252,2463.954102,5.055,969.867,3341,11890,X1.1,2013.11.06_05:14_TAI
2.046316e+22,109.689,0.00138622,10502.85,44.439,1991.187,70.413,0.00318037,53.329,113.256,0.2934204,38799160000000.0,5026301000000.0,4.642535e+23,43.95,1068.847778,4.52,46.139,3364,11893,X1.0,2013.11.15_10:26_TAI
3.388475e+22,113.687,-0.00368811,8063.587,36.209,2887.849,66.0,-0.00833909,47.894,117.775,0.0019486,57298430000000.0,3491080000000.0,5.495007e+23,40.027,1669.19043,4.571,189.244,3535,11936,M1.9,2013.12.31_22:52_TAI
1.151155e+23,80.368,0.00696512,10316.33,32.533,7378.771,45.324,0.0142295,44.15,88.39,0.03468112,144121600000000.0,41454800000000.0,2.27344e+24,39.107,3711.648438,5.117,1155.751,3563,11944,X1.2,2014.01.03_18:32_TAI
3.352203e+22,82.732,0.00825878,5463.406,16.158,2034.69,42.602,0.01911056,34.671,87.734,-0.04609461,35118920000000.0,14414770000000.0,3.392594e+23,27.488,740.904663,4.25,386.148,3721,11974,M1.7,2014.02.07_03:31_TAI
1.203507e+22,111.355,0.00325175,7130.552,33.745,930.552,66.657,0.00779044,49.0,111.389,0.0240686,19765380000000.0,3867887000000.0,1.785889e+23,38.623,572.12384,3.672,61.315,3894,12017,X1.0,2014.03.25_17:48_TAI
1.09479e+22,114.05,0.00235556,7959.679,35.944,1295.904,74.712,0.00639559,51.272,121.213,0.31715941,26518580000000.0,3168589000000.0,1.99598e+23,40.76,668.042786,4.51,44.478,3999,12036,M7.3,2014.04.14_13:03_TAI
4.504125e+22,108.091,0.00490995,4280.753,18.871,3165.272,51.698,0.01503315,38.329,109.739,0.30654722,66962210000000.0,12059880000000.0,4.211299e+23,30.896,2528.532715,4.405,363.709,4000,12035,X1.3,2014.04.21_00:27_TAI
2.634764e+22,101.091,-0.00801223,11771.06,52.417,2589.582,70.894,-0.01633525,57.589,108.197,-0.06881925,51263860000000.0,17348810000000.0,6.513431e+23,48.65,1201.373779,4.586,333.821,4071,12051,M1.8,2014.05.02_09:03_TAI
3.139305e+22,96.531,-0.0093034,12236.52,50.129,2894.231,64.758,-0.01841176,55.221,103.645,0.03763245,56735870000000.0,12129600000000.0,7.817535e+23,46.908,1326.544189,4.57,447.54,4071,12051,M1.0,2014.05.02_22:09_TAI
4.434539e+22,103.935,0.00251299,9456.604,45.252,3855.702,66.759,0.00635489,54.946,105.493,0.20417595,83793180000000.0,8470476000000.0,9.616141e+23,45.167,2702.683594,4.696,192.402,4197,12085,M3.1,2014.06.08_22:16_TAI
2.27727e+22,117.306,0.0030754,2857.924,9.725,1460.903,50.598,0.01124322,33.079,116.491,0.37139532,32827630000000.0,7516437000000.0,1.462007e+23,26.362,1349.158813,3.076,118.461,4639,12182,C3.0,2014.10.06_16:47_TAI
1.339425e+23,90.545,-0.00632119,14969.61,37.575,10400.674,52.068,-0.01188031,46.541,102.755,0.02528141,192013000000000.0,42138290000000.0,3.722507e+24,41.529,5032.071777,5.213,1183.593,4698,12192,M4.0,2014.10.20_07:48_TAI
5.839348e+22,104.842,0.0064434,3988.621,11.164,3639.929,42.179,0.01945442,31.571,106.486,0.23113059,76576070000000.0,28523920000000.0,4.751096e+23,26.142,2724.824463,4.113,577.921,4920,12242,M8.7,2014.12.13_04:51_TAI
1.588957e+22,105.563,0.01255042,7236.857,19.852,1280.78,60.232,0.02273157,36.851,117.8,-0.0818719,20262840000000.0,9450782000000.0,1.864892e+23,30.668,458.399445,4.462,243.528,4941,12241,M6.9,2014.12.14_21:58_TAI
5.938982e+22,108.879,0.0100242,9551.524,33.833,5360.408,61.354,0.02534704,47.11,114.21,0.50721484,106560200000000.0,38415140000000.0,1.215284e+24,38.797,4461.843262,5.001,960.319,4920,12242,X1.8,2014.12.16_00:28_TAI
3.235383e+22,93.064,0.01463129,14032.93,51.998,3017.838,63.751,0.0293358,56.045,102.603,0.17610426,60290420000000.0,26105440000000.0,9.212506e+23,48.766,1366.660645,4.866,723.254,4941,12241,M1.0,2014.12.17_12:17_TAI
2.054597e+22,96.511,-0.00915613,13304.3,55.93,1924.778,67.671,-0.01954011,59.125,104.317,-0.12285241,40145860000000.0,8746144000000.0,5.85152e+23,50.918,889.809021,4.575,303.224,5026,12257,M5.6,2015.01.09_04:24_TAI
8.910937e+21,111.188,0.01354006,7308.837,40.495,912.216,73.523,0.03793952,53.155,115.625,0.24588785,19039970000000.0,10720340000000.0,1.496639e+23,42.172,676.654358,4.061,208.774,5144,12280,M2.4,2015.02.05_23:35_TAI
1.078932e+22,100.466,0.00067187,1825.552,4.423,524.699,38.706,0.00238748,28.748,100.25,0.21498936,11207170000000.0,1930560000000.0,4.220904e+22,23.752,380.186188,0.0,11.697,5233,12290,M8.2,2015.02.27_01:35_TAI
2.416598e+22,108.651,0.05211703,14608.34,39.417,3112.733,66.644,0.0973688,48.925,118.71,0.21013474,48597640000000.0,66713930000000.0,6.613055e+23,42.137,1257.290649,4.953,1776.357,5298,12297,C9.1,2015.03.11_02:13_TAI
2.321743e+22,100.743,0.04448676,14082.62,45.205,3123.503,67.02,0.09312325,53.66,107.953,0.4722504,50078340000000.0,54360330000000.0,7.0246e+23,44.776,1411.793579,4.746,1670.834,5298,12297,M1.0,2015.03.13_23:34_TAI
8.8102e+22,76.666,-0.00566119,7389.227,27.572,5391.361,41.325,-0.01432095,40.982,82.343,-0.03052831,110540200000000.0,6090435000000.0,1.308995e+24,34.246,2922.943115,4.776,755.124,5447,12321,C5.2,2015.04.14_14:19_TAI
4.611243e+21,107.704,-0.00499794,2412.661,3.477,256.668,43.641,-0.01404275,27.083,106.99,-0.29425043,4727618000000.0,1418878000000.0,2.119526e+22,21.029,83.508636,3.193,33.061,5446,12322,M1.1,2015.04.19_10:07_TAI
5.573765e+22,100.208,-0.00825903,10774.51,42.257,4253.625,59.651,-0.01773815,49.953,103.843,0.13033585,88110950000000.0,17641230000000.0,1.179451e+24,43.004,2600.22998,4.671,680.751,5541,12345,C9.2,2015.05.09_18:18_TAI
9.580882e+21,114.914,0.01332482,7334.946,30.564,762.537,60.936,0.03344908,44.573,118.33,-0.5623582,17114470000000.0,12888680000000.0,1.451721e+23,37.344,519.577515,4.029,198.58,5653,12365,M1.2,2015.06.14_01:27_TAI
4.546616e+22,70.712,-0.00680197,12469.34,37.705,2691.015,43.371,-0.01124762,46.423,82.249,-0.00567883,43306930000000.0,14349180000000.0,9.642135e+23,40.256,1533.049194,4.615,396.038,5692,12371,M2.0,2015.06.17_01:42_TAI
4.564634e+22,71.304,-0.00679226,12593.12,36.501,2631.939,43.838,-0.01099021,45.783,82.64,0.03352459,42533350000000.0,15027890000000.0,9.570942e+23,39.78,1531.655518,4.629,388.694,5692,12371,M2.6,2015.06.17_02:36_TAI
2.602761e+22,110.097,0.00099283,8345.485,35.739,1878.123,63.712,0.00243266,48.833,110.93,0.36412928,41495450000000.0,8200918000000.0,4.596194e+23,39.735,1665.793091,4.151,41.169,5673,12367,M3.8,2015.06.17_09:44_TAI
2.537745e+22,111.316,0.00076991,8644.137,36.575,1972.821,62.792,0.00183478,48.849,114.335,0.31609359,43826090000000.0,7173468000000.0,4.567812e+23,39.975,1685.291138,4.099,30.634,5673,12367,M1.1,2015.06.17_18:20_TAI
5.380308e+22,80.226,-0.0074543,14105.93,46.821,3844.345,52.638,-0.01333523,51.608,89.03,0.07198928,72292530000000.0,23860970000000.0,1.415302e+24,45.68,1830.057007,4.92,563.172,5692,12371,M6.5,2015.06.18_18:23_TAI
4.297383e+22,81.354,-0.01806872,20927.08,62.899,3437.203,58.444,-0.0294324,60.356,89.779,-0.08731968,64392020000000.0,36111530000000.0,1.702321e+24,53.965,1818.165161,4.698,1106.709,5692,12371,M7.9,2015.06.21_08:16_TAI
7.122342e+20,151.731,-0.0072711,2952.315,7.678,55.926,86.09,-0.0198954,41.025,149.787,-0.60656786,1150065000000.0,399856800000.0,4.289361e+21,25.207,62.619358,0.0,7.955,5982,12423,M3.6,2015.09.24_03:55_TAI
2.34912e+22,108.916,0.0143051,6675.581,25.618,1910.942,54.036,0.04096258,41.503,113.035,0.34593749,39472660000000.0,22138760000000.0,3.319763e+23,34.811,1423.92395,4.236,535.669,6015,12434,C4.4,2015.10.18_03:40_TAI
1.701154e+20,146.181,0.01075527,1596.255,0.348,13.471,57.872,0.04525773,29.594,143.639,1.72677958,296790300000.0,257880100000.0,6.084105e+20,20.869,14.1292,0.0,3.087,6054,12440,C1.1,2015.10.25_01:25_TAI
2.448012e+21,132.701,-0.00387114,3177.044,10.528,176.664,64.838,-0.01159369,36.772,130.283,0.55719566,3726361000000.0,1128429000000.0,1.647198e+22,26.726,205.893875,0.0,15.113,6052,12445,M1.9,2015.10.31_03:26_TAI
5.164684e+22,88.152,0.00092813,10657.22,36.491,4001.099,52.965,0.00181542,47.267,98.555,-0.19435294,71744110000000.0,7275294000000.0,1.022092e+24,41.463,1723.039429,4.916,67.025,6063,12443,M3.7,2015.10.31_13:52_TAI
7.765573e+21,117.26,-0.00294546,6238.579,27.669,597.211,66.458,-0.00825181,46.088,114.416,0.30632356,13127990000000.0,2027349000000.0,1.070187e+23,35.479,586.396545,3.403,38.041,6136,12458,C3.6,2015.11.27_08:10_TAI
