USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
1.748676e+22,86.809,-0.00539809,6107.613,20.115,974.343,37.806,-0.01411551,37.002,87.949,-0.26218987,19064970000000.0,3886959000000.0,2.221003e+23,30.611,427.937958,3.821,147.8,115,11093,M1.0,2010.08.06_06:24_TAI
8.635886e+21,145.208,0.00188175,3380.575,7.04,680.337,72.2,0.00532055,34.328,144.41,0.48251453,13509480000000.0,3217496000000.0,5.72014e+22,24.878,709.764587,3.426,23.975,211,11112,M2.9,2010.10.15_07:12_TAI
2.208835e+22,77.458,0.00318894,7058.576,21.203,1125.812,35.493,0.0074759,36.119,83.284,-0.45213342,20888710000000.0,7186058000000.0,2.921531e+23,28.83,564.053101,4.19,99.387,345,11149,M1.3,2011.01.26_13:03_TAI
6.968897e+21,113.469,-0.0024686,3649.218,10.467,464.259,53.387,-0.00630027,32.995,120.948,-0.01695496,9377741000000.0,2097685000000.0,4.741158e+22,27.293,199.34108,3.947,24.15,362,11153,M1.9,2011.02.07_13:31_TAI
4.942875e+21,125.39,0.00894444,5757.768,29.832,451.349,77.005,0.02089216,49.604,125.23,0.11362994,8694789000000.0,3387658000000.0,5.903152e+22,37.851,232.700699,3.404,69.051,377,11158,M6.6,2011.02.12_05:38_TAI
1.238868e+22,113.095,0.02661065,9642.839,49.796,1762.007,83.895,0.0712622,59.524,119.216,0.19456717,33410200000000.0,23216690000000.0,2.951553e+23,48.628,566.928284,4.67,613.296,377,11158,M2.2,2011.02.13_05:26_TAI
2.399812e+22,94.826,0.01429052,15401.2,58.621,2953.304,69.486,0.03052756,60.419,103.068,0.09504303,51646180000000.0,10453290000000.0,8.050692e+23,52.12,1069.652588,4.864,562.446,377,11158,M1.0,2011.02.14_13:39_TAI
2.896708e+22,102.032,0.01916542,11038.04,44.948,2689.073,64.041,0.03776712,51.293,110.907,0.09079613,51112190000000.0,33935940000000.0,6.247078e+23,44.563,1103.807495,4.734,816.715,377,11158,M6.6,2011.02.16_22:11_TAI
2.587457e+22,73.437,0.01191612,5606.212,13.211,1594.441,38.866,0.03021261,33.596,81.992,-0.07969034,26277590000000.0,20720170000000.0,2.734509e+23,26.174,533.046143,4.201,437.655,393,11164,M1.1,2011.02.27_00:52_TAI
3.327247e+22,94.55,-0.00411763,6016.339,22.514,2231.296,51.243,-0.00875743,39.246,102.943,-0.17882249,39069270000000.0,4175979000000.0,3.604593e+23,32.244,1036.254395,4.521,185.75,394,11165,M1.3,2011.03.06_14:29_TAI
