Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,18,1e-07,1e-07,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-07,1e-06,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-07,1e-05,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-07,0.0001,0.2338,0.1334,0.2349,0.134
only_flares,12,18,1e-07,0.001,0.1247,0.1444,0.1237,0.144
only_flares,12,18,1e-06,1e-07,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-06,1e-06,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-06,1e-05,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-06,0.0001,0.2338,0.1334,0.2349,0.134
only_flares,12,18,1e-06,0.001,0.1247,0.1444,0.1237,0.144
only_flares,12,18,1e-05,1e-07,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-05,1e-06,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-05,1e-05,0.2817,0.1222,0.282,0.122
only_flares,12,18,1e-05,0.0001,0.2338,0.1334,0.2349,0.134
only_flares,12,18,1e-05,0.001,0.1247,0.1444,0.1237,0.144
only_flares,12,18,0.0001,1e-07,0.2817,0.1222,0.282,0.122
only_flares,12,18,0.0001,1e-06,0.2817,0.1222,0.282,0.122
only_flares,12,18,0.0001,1e-05,0.2817,0.1222,0.282,0.122
only_flares,12,18,0.0001,0.0001,0.2338,0.1334,0.2349,0.134
only_flares,12,18,0.0001,0.001,0.1247,0.1444,0.1237,0.144
only_flares,12,18,0.001,1e-07,0.2858,0.1261,0.2863,0.126
only_flares,12,18,0.001,1e-06,0.2858,0.1261,0.2863,0.126
only_flares,12,18,0.001,1e-05,0.2858,0.1261,0.2863,0.126
only_flares,12,18,0.001,0.0001,0.2442,0.1427,0.2448,0.1427
only_flares,12,18,0.001,0.001,0.1247,0.1444,0.1237,0.144
only_flares,12,36,1e-07,1e-07,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-07,1e-06,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-07,1e-05,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-07,0.0001,0.1487,0.127,0.151,0.1295
only_flares,12,36,1e-07,0.001,0.0304,0.1606,0.0317,0.1665
only_flares,12,36,1e-06,1e-07,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-06,1e-06,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-06,1e-05,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-06,0.0001,0.1487,0.127,0.151,0.1295
only_flares,12,36,1e-06,0.001,0.0304,0.1606,0.0317,0.1665
only_flares,12,36,1e-05,1e-07,0.1683,0.1448,0.1706,0.1473
only_flares,12,36,1e-05,1e-06,0.1683,0.1448,0.1706,0.1473
