Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.1,0.2814,0.066,0.2847,0.0683
only_flares,12,0.01,0.01,0.304,0.1013,0.3033,0.1027
only_flares,12,0.01,0.07,0.2981,0.0889,0.3005,0.0901
only_flares,12,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.005,0.2057,0.0507,0.2129,0.056
only_flares,12,0.1,1.0,0.3239,0.07,0.3234,0.0677
only_flares,12,0.1,0.1,0.3324,0.0664,0.333,0.0666
only_flares,12,0.1,0.01,0.3216,0.0874,0.3208,0.0878
only_flares,12,0.1,0.07,0.3349,0.0685,0.3358,0.0688
only_flares,12,0.1,0.001,0.284,0.0724,0.2778,0.0713
only_flares,12,0.1,0.005,0.3291,0.091,0.3282,0.0915
only_flares,12,1.0,1.0,0.3597,0.0758,0.3575,0.0756
only_flares,12,1.0,0.1,0.3808,0.0815,0.3813,0.0821
only_flares,12,1.0,0.01,0.3401,0.081,0.3418,0.0817
only_flares,12,1.0,0.07,0.3761,0.0766,0.3764,0.0773
only_flares,12,1.0,0.001,0.327,0.0786,0.3253,0.0786
only_flares,12,1.0,0.005,0.3341,0.0886,0.3346,0.0891
only_flares,12,10.0,1.0,0.3918,0.069,0.3917,0.0696
only_flares,12,10.0,0.1,0.3789,0.0795,0.379,0.0785
only_flares,12,10.0,0.01,0.3694,0.0718,0.3703,0.0729
only_flares,12,10.0,0.07,0.3846,0.0799,0.3856,0.0799
only_flares,12,10.0,0.001,0.3331,0.0849,0.334,0.0855
only_flares,12,10.0,0.005,0.3658,0.0738,0.3675,0.0746
only_flares,12,100.0,1.0,0.3719,0.0756,0.3721,0.0755
only_flares,12,100.0,0.1,0.367,0.0545,0.3666,0.0541
only_flares,12,100.0,0.01,0.3915,0.0705,0.392,0.071
only_flares,12,100.0,0.07,0.3637,0.0774,0.3634,0.077
only_flares,12,100.0,0.001,0.3687,0.0759,0.371,0.0769
only_flares,12,100.0,0.005,0.3948,0.0719,0.3961,0.0725
only_flares,12,1000.0,1.0,0.3716,0.0725,0.3718,0.0725
