Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.1,1.0,0.2676,0.0967,0.2724,0.0899
only_flares,12,0.1,0.1,0.2245,0.0977,0.2198,0.0954
only_flares,12,0.1,0.01,0.026,0.0706,0.027,0.0714
only_flares,12,0.1,0.07,0.1952,0.0878,0.1904,0.085
only_flares,12,0.1,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.1,0.005,0.0124,0.066,0.012,0.066
only_flares,12,1.0,1.0,0.5858,0.0589,0.5811,0.06
only_flares,12,1.0,0.1,0.5159,0.0612,0.5166,0.061
only_flares,12,1.0,0.01,0.2292,0.0563,0.2278,0.0553
only_flares,12,1.0,0.07,0.4864,0.0522,0.4865,0.0529
only_flares,12,1.0,0.001,0.0086,0.0755,0.0093,0.0764
only_flares,12,1.0,0.005,0.1681,0.0744,0.1704,0.0742
only_flares,12,10.0,1.0,0.6244,0.0554,0.6235,0.0566
only_flares,12,10.0,0.1,0.7038,0.0685,0.7062,0.0673
only_flares,12,10.0,0.01,0.5171,0.0594,0.5154,0.0583
only_flares,12,10.0,0.07,0.7109,0.0474,0.7128,0.0457
only_flares,12,10.0,0.001,0.1479,0.0834,0.1519,0.0855
only_flares,12,10.0,0.005,0.4307,0.0581,0.4316,0.0584
only_flares,12,100.0,1.0,0.6244,0.0554,0.6235,0.0566
only_flares,12,100.0,0.1,0.7752,0.0646,0.7782,0.0637
only_flares,12,100.0,0.01,0.6999,0.0672,0.7,0.0684
only_flares,12,100.0,0.07,0.788,0.0579,0.791,0.0572
only_flares,12,100.0,0.001,0.376,0.0598,0.3771,0.0601
only_flares,12,100.0,0.005,0.5893,0.0521,0.5897,0.0526
only_flares,12,1000.0,1.0,0.6244,0.0554,0.6235,0.0566
only_flares,12,1000.0,0.1,0.7532,0.0609,0.7561,0.0606
