USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
2.292297e+22,99.63,0.00019527,8645.628,35.349,1573.525,51.93,0.00043782,45.849,102.913,0.03703745,33387260000000.0,3513587000000.0,3.98119e+23,38.769,940.6073,4.101,6.771,345,11149,M1.3,2011.01.24_01:03_TAI
9.752015e+20,158.578,-0.00851993,2247.412,10.617,87.528,66.79,-0.02664684,32.724,158.219,0.93728828,1864280000000.0,722167900000.0,4.497887e+21,25.919,71.444283,1.772,12.84,362,11153,M1.9,2011.02.05_01:31_TAI
4.910381e+21,132.831,0.006082,5776.924,27.345,478.653,78.592,0.01346632,47.915,133.945,0.52720225,8946810000000.0,3655964000000.0,5.684191e+22,36.86,212.399704,2.589,45.062,377,11158,M1.0,2011.02.12_01:39_TAI
2.347431e+22,96.971,0.019288,15343.45,58.444,2868.27,71.57,0.04011968,60.482,104.073,0.01872103,49440790000000.0,18456230000000.0,7.718523e+23,51.886,1034.615234,4.761,730.571,377,11158,M6.6,2011.02.14_10:11_TAI
2.756249e+21,137.305,-0.00543065,1955.266,13.177,212.149,56.956,-0.02220887,35.689,134.969,0.70178169,4884181000000.0,1790281000000.0,1.280942e+22,27.72,221.890564,2.6,26.789,394,11165,M1.3,2011.03.04_02:29_TAI
4.361581e+21,141.057,-0.00597794,3453.51,20.341,431.244,71.253,-0.02035529,41.149,142.987,0.19465742,9240976000000.0,1625504000000.0,3.413667e+22,32.394,262.982269,3.938,44.494,394,11165,M5.3,2011.03.04_10:44_TAI
2.833222e+22,89.43,-0.00278821,10365.86,41.455,1804.518,51.803,-0.00553129,48.178,94.388,0.18493615,35399220000000.0,3870708000000.0,5.568617e+23,41.032,975.426331,4.347,112.783,401,11166,X1.5,2011.03.05_23:23_TAI
2.966539e+22,87.955,-0.00169354,5016.859,18.289,1657.644,42.319,-0.00456126,36.671,90.991,0.0557301,33438470000000.0,1341394000000.0,2.993378e+23,31.455,834.579102,4.058,76.079,833,11283,M5.3,2011.09.02_01:50_TAI
1.911289e+22,110.138,-0.00147774,8163.266,38.266,1808.426,67.404,-0.00431875,50.828,112.803,0.58997697,39171890000000.0,10480420000000.0,3.600898e+23,41.703,1367.665039,4.285,49.082,833,11283,M6.7,2011.09.04_15:46_TAI
3.488084e+22,83.232,-0.00426295,7214.784,22.882,2080.471,45.295,-0.00855587,39.329,89.524,-0.11504056,36202880000000.0,12342850000000.0,4.385478e+23,33.288,1103.185059,4.436,195.111,1807,11515,M5.6,2012.06.28_10:52_TAI
3.494876e+22,99.625,-0.00318997,9927.627,39.603,2758.579,59.904,-0.00719102,49.545,105.744,-0.05292789,60418220000000.0,17546540000000.0,7.210512e+23,42.438,1400.302979,4.752,174.453,1807,11515,M5.3,2012.06.30_09:55_TAI
3.076704e+22,98.697,-0.00663064,11350.77,46.714,2581.805,64.326,-0.01482919,53.813,103.914,-0.10903916,57311390000000.0,14990580000000.0,7.560681e+23,46.251,1424.760132,4.777,332.553,1807,11515,M6.1,2012.07.01_11:44_TAI
2.949461e+22,80.291,-0.00086836,4370.726,12.478,1862.277,41.086,-0.00199253,32.351,85.296,-0.14429544,30941580000000.0,3258534000000.0,2.324535e+23,26.704,649.373962,4.17,34.773,3291,11875,M1.0,2013.10.18_15:20_TAI
3.891305e+22,89.026,0.00695531,8707.964,25.141,2434.973,44.853,0.01408812,39.611,97.383,0.05885882,44374510000000.0,11884070000000.0,6.061217e+23,33.074,1196.0,4.619,364.542,3321,11884,M6.3,2013.10.28_19:53_TAI
1.79358e+22,92.284,-0.00128106,2600.682,8.522,932.804,39.313,-0.00391331,31.075,94.408,0.14136331,18897360000000.0,1985135000000.0,9.528396e+22,24.428,406.89624,3.558,35.339,3535,11936,M3.1,2013.12.25_07:56_TAI
1.655605e+22,119.665,-0.00507957,5175.651,25.252,1424.496,65.453,-0.01388857,43.867,121.835,0.28767613,29060250000000.0,10129080000000.0,1.81474e+23,35.241,909.467285,4.092,134.111,3535,11936,M6.4,2013.12.27_21:58_TAI
1.395912e+22,130.539,-0.00615561,4913.251,24.95,1415.174,74.062,-0.01751088,45.901,131.523,0.51683891,27828180000000.0,6979454000000.0,1.489661e+23,35.065,1063.604858,4.221,140.533,3535,11936,M9.9,2013.12.28_18:52_TAI
1.171768e+23,78.359,0.00796675,10221.86,30.32,7412.897,44.539,0.01586633,42.675,87.405,0.00944743,141241900000000.0,46274560000000.0,2.212698e+24,37.983,3604.099365,4.993,1298.516,3563,11944,M7.2,2014.01.03_10:13_TAI
7.954216e+22,97.326,0.01377928,15544.5,43.507,6028.329,57.429,0.02459203,50.498,102.273,0.19777623,116239700000000.0,57982990000000.0,2.377276e+24,43.615,3982.569824,4.747,1586.739,3563,11944,M1.3,2014.01.09_21:51_TAI
3.846578e+22,70.8,-0.00118797,3587.865,11.607,1851.241,34.693,-0.00328668,31.495,72.527,-0.22546798,35125960000000.0,6486409000000.0,2.684751e+23,24.294,759.751038,3.991,66.933,3688,11968,M2.6,2014.01.29_06:34_TAI
