Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,18,1e-07,1e-07,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-07,1e-06,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-07,1e-05,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-07,0.0001,0.3595,0.1299,0.3603,0.1299
only_flares,12,18,1e-07,0.001,0.294,0.1506,0.2942,0.151
only_flares,12,18,1e-06,1e-07,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-06,1e-06,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-06,1e-05,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-06,0.0001,0.3595,0.1299,0.3603,0.1299
only_flares,12,18,1e-06,0.001,0.294,0.1506,0.2942,0.151
only_flares,12,18,1e-05,1e-07,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-05,1e-06,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-05,1e-05,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,1e-05,0.0001,0.3595,0.1299,0.3603,0.1299
only_flares,12,18,1e-05,0.001,0.294,0.1506,0.2942,0.151
only_flares,12,18,0.0001,1e-07,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,0.0001,1e-06,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,0.0001,1e-05,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,0.0001,0.0001,0.35,0.1225,0.3509,0.1223
only_flares,12,18,0.0001,0.001,0.294,0.1506,0.2942,0.151
only_flares,12,18,0.001,1e-07,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,0.001,1e-06,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,0.001,1e-05,0.3571,0.1266,0.3588,0.1269
only_flares,12,18,0.001,0.0001,0.35,0.1225,0.3509,0.1223
only_flares,12,18,0.001,0.001,0.294,0.1506,0.2942,0.151
only_flares,12,36,1e-07,1e-07,0.3625,0.1177,0.3652,0.1172
only_flares,12,36,1e-07,1e-06,0.3625,0.1177,0.3652,0.1172
only_flares,12,36,1e-07,1e-05,0.372,0.1136,0.3746,0.1131
only_flares,12,36,1e-07,0.0001,0.372,0.1136,0.3746,0.1131
only_flares,12,36,1e-07,0.001,0.3168,0.1418,0.3193,0.1415
only_flares,12,36,1e-06,1e-07,0.3625,0.1177,0.3652,0.1172
only_flares,12,36,1e-06,1e-06,0.3625,0.1177,0.3652,0.1172
only_flares,12,36,1e-06,1e-05,0.372,0.1136,0.3746,0.1131
only_flares,12,36,1e-06,0.0001,0.372,0.1136,0.3746,0.1131
only_flares,12,36,1e-06,0.001,0.3168,0.1418,0.3193,0.1415
only_flares,12,36,1e-05,1e-07,0.3625,0.1177,0.3652,0.1172
only_flares,12,36,1e-05,1e-06,0.3625,0.1177,0.3652,0.1172
only_flares,12,36,1e-05,1e-05,0.372,0.1136,0.3746,0.1131
only_flares,12,36,1e-05,0.0001,0.372,0.1136,0.3746,0.1131
only_flares,12,36,1e-05,0.001,0.3168,0.1418,0.3193,0.1415
only_flares,12,36,0.0001,1e-07,0.3673,0.1169,0.3699,0.1164
only_flares,12,36,0.0001,1e-06,0.3673,0.1169,0.3699,0.1164
only_flares,12,36,0.0001,1e-05,0.372,0.1136,0.3746,0.1131
only_flares,12,36,0.0001,0.0001,0.372,0.1136,0.3746,0.1131
only_flares,12,36,0.0001,0.001,0.3168,0.1418,0.3193,0.1415
only_flares,12,36,0.001,1e-07,0.3673,0.1169,0.3699,0.1164
only_flares,12,36,0.001,1e-06,0.3673,0.1169,0.3699,0.1164
only_flares,12,36,0.001,1e-05,0.3673,0.1169,0.3699,0.1164
only_flares,12,36,0.001,0.0001,0.3673,0.1169,0.3699,0.1164
only_flares,12,36,0.001,0.001,0.3168,0.1418,0.3193,0.1415
only_flares,12,54,1e-07,1e-07,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-07,1e-06,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-07,1e-05,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-07,0.0001,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-07,0.001,0.3233,0.1405,0.3266,0.1411
only_flares,12,54,1e-06,1e-07,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-06,1e-06,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-06,1e-05,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-06,0.0001,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-06,0.001,0.3233,0.1405,0.3266,0.1411
only_flares,12,54,1e-05,1e-07,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-05,1e-06,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-05,1e-05,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-05,0.0001,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,1e-05,0.001,0.3233,0.1405,0.3266,0.1411
only_flares,12,54,0.0001,1e-07,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.0001,1e-06,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.0001,1e-05,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.0001,0.0001,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.0001,0.001,0.3233,0.1405,0.3266,0.1411
only_flares,12,54,0.001,1e-07,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,1e-06,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,1e-05,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,0.0001,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,0.001,0.3233,0.1405,0.3266,0.1411
only_flares,12,72,1e-07,1e-07,0.3455,0.1028,0.3467,0.1035
