Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.0001,0.0,0.0,0.0,0.0
only_flares,12,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.0001,0.0,0.0,0.0,0.0
only_flares,12,0.1,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.1,0.1,0.292,0.1383,0.2937,0.1383
only_flares,12,0.1,0.01,0.294,0.1374,0.2951,0.1367
only_flares,12,0.1,0.07,0.3021,0.1397,0.3035,0.139
only_flares,12,0.1,0.001,0.0042,0.0125,0.0039,0.0117
only_flares,12,0.1,0.005,0.2959,0.1458,0.2955,0.1455
only_flares,12,0.1,0.0001,0.0,0.0,0.0,0.0
only_flares,12,1.0,1.0,0.2661,0.145,0.2642,0.144
only_flares,12,1.0,0.1,0.3274,0.1106,0.3271,0.1106
only_flares,12,1.0,0.01,0.3122,0.1471,0.3135,0.147
only_flares,12,1.0,0.07,0.3707,0.1212,0.3706,0.1205
only_flares,12,1.0,0.001,0.2954,0.134,0.2962,0.1334
only_flares,12,1.0,0.005,0.3104,0.149,0.3123,0.149
only_flares,12,1.0,0.0001,0.0333,0.0403,0.0318,0.0381
only_flares,12,10.0,1.0,0.1899,0.1342,0.1891,0.1334
only_flares,12,10.0,0.1,0.2678,0.1929,0.2679,0.1944
only_flares,12,10.0,0.01,0.4038,0.1355,0.4031,0.1346
only_flares,12,10.0,0.07,0.3134,0.1478,0.3131,0.148
only_flares,12,10.0,0.001,0.3142,0.1394,0.3164,0.1396
only_flares,12,10.0,0.005,0.3972,0.1353,0.3973,0.135
only_flares,12,10.0,0.0001,0.2911,0.1341,0.2918,0.1334
only_flares,12,100.0,1.0,0.1792,0.1112,0.1786,0.1105
only_flares,12,100.0,0.1,0.1723,0.1716,0.1719,0.1715
only_flares,12,100.0,0.01,0.3805,0.117,0.3804,0.1167
