Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.001,0.0001,0.0,0.0,0.0,0.0
only_flares,12,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.1,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.07,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.01,0.0001,0.0,0.0,0.0,0.0
only_flares,12,0.1,1.0,0.0,0.0,0.0,0.0
only_flares,12,0.1,0.1,0.143,0.0856,0.1389,0.0833
only_flares,12,0.1,0.01,0.0,0.0,0.0,0.0
only_flares,12,0.1,0.07,0.0774,0.084,0.0739,0.0803
only_flares,12,0.1,0.001,0.0,0.0,0.0,0.0
only_flares,12,0.1,0.005,0.0,0.0,0.0,0.0
only_flares,12,0.1,0.0001,0.0,0.0,0.0,0.0
only_flares,12,1.0,1.0,0.4471,0.1029,0.4418,0.1021
only_flares,12,1.0,0.1,0.4598,0.1322,0.4589,0.1327
only_flares,12,1.0,0.01,-0.0023,0.1115,-0.0018,0.1103
only_flares,12,1.0,0.07,0.4442,0.097,0.444,0.0976
only_flares,12,1.0,0.001,-0.0325,0.0924,-0.0326,0.0906
only_flares,12,1.0,0.005,-0.0539,0.0961,-0.0545,0.0963
only_flares,12,1.0,0.0001,0.0,0.0,0.0,0.0
only_flares,12,10.0,1.0,0.4313,0.1403,0.4288,0.1387
only_flares,12,10.0,0.1,0.6603,0.1123,0.6621,0.1132
only_flares,12,10.0,0.01,0.4873,0.1064,0.4873,0.1045
only_flares,12,10.0,0.07,0.6812,0.1,0.6811,0.0998
only_flares,12,10.0,0.001,0.0058,0.1231,0.006,0.1239
only_flares,12,10.0,0.005,0.2082,0.1332,0.2077,0.1325
only_flares,12,10.0,0.0001,-0.0134,0.0862,-0.0141,0.0852
only_flares,12,100.0,1.0,0.4313,0.1403,0.4288,0.1387
only_flares,12,100.0,0.1,0.7146,0.134,0.7162,0.1325
only_flares,12,100.0,0.01,0.7502,0.0787,0.749,0.0781
